"","Region","LocalityName","LocalityCode","Treatment","Years_Since_Exclosure","Mean_Plot_Biomass_kg","Mean_Plot_Biomass_kg_m2"
"79","Trøndelag","bratsberg","BRB","B",2,3.21875967,0.256140756052669
"80","Hedmark","nes_1","DDB","B",2,3.673127605,0.292298207471522
"81","Hedmark","fet_3","FKB","B",2,1.62035127,0.128943457082865
"82","Hedmark","kongsvinger_1","IAAB","B",2,6.13158455,0.487935995059197
"83","Hedmark","kongsvinger_2","JCDB","B",2,0.79175625,0.0630059604557012
"84","Trøndelag","selbu_kl","KLB","B",2,2.423802645,0.19288008601548
"85","Trøndelag","singsaas","LAB","B",2,1.83686837,0.146173340447326
"86","Hedmark","nes_2","OLB","B",2,7.709929375,0.613536685460329
"87","Trøndelag","sl_tydal","SEB","B",2,0.45986415,0.0365948263116264
"88","Hedmark","sorum_1","SKB","B",2,0.7494204,0.0596369805569527
"89","Trøndelag","selbu_sl","SLB","B",2,0.87889325,0.0699401025938005
"90","Hedmark","eidskog","STSKNB","B",2,3.41650125,0.27187653100857
"91","Trøndelag","steinkjer_1bbb","1BBUB","UB",2,1.37450995,0.109380026435747
"92","Telemark","nome_cappelen1","1CAUB","UB",2,0.2709872375,0.0215644791814712
"93","Telemark","drangedal1","1DRUB","UB",2,0.7570141625,0.0602412729762232
"94","Telemark","fritsoe1","1FRUB","UB",2,3.09400585,0.246213162491371
"95","Telemark","furesdal","1FYUB","UB",2,1.0647801375,0.0847325110945965
"96","Trøndelag","namdalseid_1kub","1KUB","UB",2,2.6157018,0.208150935562184
"97","Telemark","kviteseid1","1KVUB","UB",2,0.608125475,0.0483930876831784
"98","Telemark","notodden1","1NOUB","UB",2,1.6293730875,0.129661390508264
"99","Trøndelag","nsb_verdal","1NSUB","UB",2,0.6786623,0.0540062298675574
"100","Trøndelag","sub_namdalseid","1SUB","UB",2,0.783369625,0.0623385740433972
"101","Trøndelag","verdal_1vb","1VBUB","UB",2,0.5301790375,0.0421903072709142
"102","Trøndelag","steinkjer_2bbb","2BBUB","UB",2,2.038328575,0.162205034178355
"103","Telemark","nome_cappelen2","2CAUB","UB",2,2.3709624125,0.18867519391723
"104","Telemark","fritsoe2","2FRUB","UB",2,1.1194509,0.0890830721418355
"105","Telemark","kviteseid2","2KVUB","UB",2,0.6782870375,0.0539763674266414
"106","Trøndelag","verdal_2vb","2VBUB","UB",2,1.9108170625,0.152057990420605
"107","Telemark","drangedal3","3DRUB","UB",2,0.180459975,0.0143605485257449
"108","Telemark","kviteseid3","3KVUB","UB",2,5.0462408375,0.401567086660155
"109","Telemark","notodden3","3NOUB","UB",2,0.9333585125,0.0742743104706368
"110","Telemark","drangedal4","4DRUB","UB",2,1.985301925,0.157985307446803
"111","Telemark","notodden4","4NOUB","UB",2,1.9045772375,0.151561440924216
"112","Telemark","notodden5","5NOUB","UB",2,14.7263256,1.17188375641036
"113","Telemark","notodden6","6NOUB","UB",2,0.95087165,0.0756679616717233
"114","Trøndelag","bratsberg","BRUB","UB",2,2.612115725,0.20786556478091
"115","Hedmark","nes_1","DDUB","UB",2,12.1842444875,0.969591369012901
"116","Hedmark","fet_3","FKUB","UB",2,0.7629945125,0.060717174108183
"117","Hedmark","kongsvinger_1","IAAUB","UB",2,16.62803665,1.32321711338035
"118","Hedmark","kongsvinger_2","JCDUB","UB",2,1.80758115,0.143842737531116
"119","Trøndelag","selbu_kl","KLUB","UB",2,1.1748162875,0.0934889096902471
"120","Trøndelag","singsaas","LAUB","UB",2,1.7445785625,0.138829150917014
"121","Hedmark","nes_2","OLUB","UB",2,3.602150325,0.286650014991914
"122","Trøndelag","sl_tydal","SEUB","UB",2,1.363684175,0.108518538633722
"123","Hedmark","sorum_1","SKUB","UB",2,1.3459791875,0.107109620494719
"124","Trøndelag","selbu_sl","SLUB","UB",2,0.770326425,0.0613006291665291
"125","Hedmark","eidskog","STSKNUB","UB",2,3.44049088333333,0.273785565372551
"126","Trøndelag","steinkjer_1bbb","1BBB","B",3,1.60448157,0.127680586482672
"127","Telemark","nome_cappelen1","1CAB","B",3,1.04609672,0.0832457319701092
"128","Telemark","drangedal1","1DRB","B",3,2.077383525,0.165312928350708
"129","Telemark","fritsoe1","1FRB","B",3,0.855267275,0.0680600072404927
"130","Telemark","furesdal","1FYB","B",3,1.097395,0.0873279193871652
"131","Trøndelag","namdalseid_1kub","1KB","B",3,1.64512051,0.13091453057418
"132","Telemark","kviteseid1","1KVB","B",3,2.38075927,0.189454803066176
"133","Telemark","notodden1","1NOB","B",3,1.24854655,0.0993561775564161
"134","Trøndelag","nsb_verdal","1NSB","B",3,1.92471384,0.153163860836692
"135","Trøndelag","sub_namdalseid","1SB","B",3,0.623559795,0.0496213118438095
"136","Trøndelag","verdal_1vb","1VBB","B",3,0.980188473333333,0.0780009203463492
"137","Trøndelag","steinkjer_2bbb","2BBB","B",3,5.59616404,0.445328584659556
"138","Telemark","nome_cappelen2","2CAB","B",3,2.23985125,0.17824169911403
"139","Telemark","fritsoe2","2FRB","B",3,1.142189065,0.0908925178201301
"140","Telemark","kviteseid2","2KVB","B",3,2.32427507,0.184959933247881
"141","Trøndelag","verdal_2vb","2VBB","B",3,5.7801504,0.459969753987298
"142","Telemark","drangedal3","3DRB","B",3,0.07059,0.00561737371642845
"143","Telemark","kviteseid3","3KVB","B",3,2.06976423,0.164706604119645
"144","Telemark","notodden3","3NOB","B",3,2.12794698,0.169336640252235
"145","Telemark","drangedal4","4DRB","B",3,4.022189695,0.320075686006266
"146","Telemark","notodden4","4NOB","B",3,0.84327073,0.0671053525221055
"147","Telemark","notodden5","5NOB","B",3,4.02081652,0.319966412211776
"148","Telemark","notodden6","6NOB","B",3,1.90056566,0.151242209729855
"149","Trøndelag","bratsberg","BRB","B",3,2.814147735,0.223942761308056
"150","Hedmark","nes_1","DDB","B",3,4.655460575,0.370469781440344
"151","Hedmark","didrik_holmsen","DHB","B",3,2.24866033,0.178942703427076
"152","Hedmark","fet_3","FKB","B",3,1.892475975,0.150598453051952
"153","Hedmark","halvard_pramhus","HPB","B",3,4.64682375,0.369782484744659
"154","Hedmark","kongsvinger_1","IAAB","B",3,7.977838925,0.634856250052341
"155","Hedmark","kongsvinger_2","JCDB","B",3,0.639317865,0.0508752992108535
"156","Trøndelag","selbu_kl","KLB","B",3,3.80940674,0.303142956459291
"157","Trøndelag","singsaas","LAB","B",3,1.433263005,0.114055445998247
"158","Hedmark","nes_2","OLB","B",3,8.988067205,0.715247662258953
"159","Hedmark","stig_dahlen","SDB","B",3,2.502035625,0.199105668755385
"160","Trøndelag","sl_tydal","SEB","B",3,0.57712132,0.0459258554208598
"161","Hedmark","sorum_1","SKB","B",3,0.86001205,0.0684375844380471
"162","Trøndelag","selbu_sl","SLB","B",3,1.399044325,0.111332409964207
"163","Hedmark","stangeskovene_aurskog","SSAB","B",3,1.293115,0.102902822118138
"164","Hedmark","stangeskovene_eidskog","SSBB","B",3,2.70297666666667,0.215096048781027
"165","Hedmark","eidskog","STSKNB","B",3,4.691951875,0.373373666827768
"166","Hedmark","truls_holm","THB","B",3,1.984642865,0.157932861118406
"167","Trøndelag","steinkjer_1bbb","1BBUB","UB",3,1.440699675,0.114647237393569
"168","Telemark","nome_cappelen1","1CAUB","UB",3,1.813429425,0.144308128468522
"169","Telemark","drangedal1","1DRUB","UB",3,1.26600775,0.100745695702574
"170","Telemark","fritsoe1","1FRUB","UB",3,5.358765025,0.426436971298357
"171","Telemark","furesdal","1FYUB","UB",3,3.7566381875,0.298943768474202
"172","Trøndelag","namdalseid_1kub","1KUB","UB",3,3.761228225,0.299309032052753
"173","Telemark","kviteseid1","1KVUB","UB",3,0.8599627125,0.0684336582845447
"174","Telemark","notodden1","1NOUB","UB",3,1.8686940125,0.148705944607802
"175","Trøndelag","nsb_verdal","1NSUB","UB",3,0.6411179,0.0510185414448477
"176","Trøndelag","sub_namdalseid","1SUB","UB",3,1.466297,0.116684207795408
"177","Trøndelag","verdal_1vb","1VBUB","UB",3,0.6723074125,0.0535005239883485
"178","Trøndelag","steinkjer_2bbb","2BBUB","UB",3,1.691642725,0.134616650814597
"179","Telemark","nome_cappelen2","2CAUB","UB",3,3.0997892125,0.246673387856154
"180","Telemark","fritsoe2","2FRUB","UB",3,2.0718857,0.164875425338206
"181","Telemark","kviteseid2","2KVUB","UB",3,0.7326338875,0.0583011523361283
"182","Trøndelag","verdal_2vb","2VBUB","UB",3,2.428564,0.193258982607513
"183","Telemark","drangedal3","3DRUB","UB",3,0.2956109375,0.0235239709675772
"184","Telemark","kviteseid3","3KVUB","UB",3,5.4563467625,0.434202279237667
"185","Telemark","notodden3","3NOUB","UB",3,1.2152440125,0.096706045826102
"186","Telemark","drangedal4","4DRUB","UB",3,3.404431575,0.270916056789688
"187","Telemark","notodden4","4NOUB","UB",3,2.6287096125,0.209186064391278
"188","Telemark","notodden5","5NOUB","UB",3,10.3618586125,0.824570508899352
"189","Telemark","notodden6","6NOUB","UB",3,0.9093338,0.0723624845952685
"190","Trøndelag","bratsberg","BRUB","UB",3,4.2618449625,0.339146846236584
"191","Hedmark","nes_1","DDUB","UB",3,14.3719527375,1.14368366002811
"192","Hedmark","didrik_holmsen","DHUB","UB",3,1.23901875,0.0985979793230207
"193","Hedmark","fet_3","FKUB","UB",3,1.403489725,0.111686163656217
"194","Hedmark","halvard_pramhus","HPUB","UB",3,1.20956925,0.0962544625747283
"195","Hedmark","kongsvinger_1","IAAUB","UB",3,18.6936166,1.48759074307735
"196","Hedmark","kongsvinger_2","JCDUB","UB",3,1.722938225,0.137107067575363
"197","Trøndelag","selbu_kl","KLUB","UB",3,2.470189025,0.19657139685005
"198","Trøndelag","singsaas","LAUB","UB",3,1.89202885,0.150562871974987
"199","Hedmark","nes_2","OLUB","UB",3,4.7475181,0.377795486516622
"200","Hedmark","stig_dahlen","SDUB","UB",3,11.0014934125,0.875471028996149
"201","Trøndelag","sl_tydal","SEUB","UB",3,2.3582068875,0.187660141489489
"202","Hedmark","sorum_1","SKUB","UB",3,2.8150019375,0.224010736583194
"203","Trøndelag","selbu_sl","SLUB","UB",3,1.548529775,0.123228084108115
"204","Hedmark","stangeskovene_aurskog","SSAUB","UB",3,2.44758296666667,0.194772463886263
"205","Hedmark","stangeskovene_eidskog","SSBUB","UB",3,0.5645521,0.044925628673955
"206","Hedmark","eidskog","STSKNUB","UB",3,4.10152013333333,0.326388601705465
"207","Hedmark","truls_holm","THUB","UB",3,4.50442275,0.358450573219044
"208","Trøndelag","steinkjer_1bbb","1BBB","B",4,1.889088305,0.15032887083892
"209","Telemark","nome_cappelen1","1CAB","B",4,1.4351633,0.114206666669538
"210","Telemark","drangedal1","1DRB","B",4,2.829193525,0.225140067233667
"211","Telemark","fritsoe1","1FRB","B",4,1.319540105,0.105005665159374
"212","Telemark","furesdal","1FYB","B",4,1.34305625,0.106877020518982
"213","Trøndelag","namdalseid_1kub","1KB","B",4,1.92433891,0.153134024855285
"214","Telemark","kviteseid1","1KVB","B",4,2.917788035,0.232190194332319
"215","Telemark","notodden1","1NOB","B",4,1.819616325,0.144800466327229
"216","Trøndelag","nsb_verdal","1NSB","B",4,2.711159205,0.215747194492422
"217","Trøndelag","sub_namdalseid","1SB","B",4,0.85452148,0.0680006587601011
"218","Trøndelag","verdal_1vb","1VBB","B",4,1.19010759333333,0.0947057531450996
"219","Trøndelag","steinkjer_2bbb","2BBB","B",4,6.18550144,0.492226564839018
"220","Telemark","nome_cappelen2","2CAB","B",4,3.068776875,0.244205504451175
"221","Telemark","fritsoe2","2FRB","B",4,1.43078344,0.113858128485013
"222","Telemark","kviteseid2","2KVB","B",4,2.9396204,0.233927558736887
"223","Trøndelag","verdal_2vb","2VBB","B",4,6.69288422,0.532602803577372
"224","Telemark","drangedal3","3DRB","B",4,0.0519775,0.0041362380272795
"225","Telemark","kviteseid3","3KVB","B",4,2.541852235,0.202274173904716
"226","Telemark","notodden3","3NOB","B",4,2.55734356,0.203506934379113
"227","Telemark","drangedal4","4DRB","B",4,4.52367145,0.359982336095591
"228","Telemark","notodden4","4NOB","B",4,0.96590264,0.0768640898507557
"229","Telemark","notodden5","5NOB","B",4,4.445268865,0.353743256618625
"230","Telemark","notodden6","6NOB","B",4,2.235162865,0.177868609290096
"231","Trøndelag","bratsberg","BRB","B",4,2.796180635,0.222512984919042
"232","Hedmark","nes_1","DDB","B",4,6.94863337,0.552954674284397
"233","Hedmark","didrik_holmsen","DHB","B",4,2.63869441,0.209980629330226
"234","Hedmark","fet_3","FKB","B",4,3.43890877,0.273659664793785
"235","Hedmark","halvard_pramhus","HPB","B",4,5.831271875,0.464037871709497
"236","Hedmark","kongsvinger_1","IAAB","B",4,12.19121304,0.970145908801186
"237","Hedmark","kongsvinger_2","JCDB","B",4,1.31922891,0.104980901048117
"238","Trøndelag","selbu_kl","KLB","B",4,8.08458926,0.643351171798324
"239","Trøndelag","singsaas","LAB","B",4,2.27686778,0.181187380976835
"240","Hedmark","nes_2","OLB","B",4,12.40852408,0.987438971903406
"241","Hedmark","stig_dahlen","SDB","B",4,3.431578455,0.27307633686045
"242","Trøndelag","sl_tydal","SEB","B",4,1.373778265,0.109321800793479
"243","Hedmark","sorum_1","SKB","B",4,1.33593014,0.106309942703224
"244","Trøndelag","selbu_sl","SLB","B",4,2.00484443,0.159540450582377
"245","Hedmark","stangeskovene_aurskog","SSAB","B",4,1.71122416666667,0.136174892431655
"246","Hedmark","stangeskovene_eidskog","SSBB","B",4,3.68251,0.293044834742668
"247","Hedmark","eidskog","STSKNB","B",4,5.936776875,0.472433692844953
"248","Hedmark","truls_holm","THB","B",4,2.74154224,0.218164999595614
"249","Trøndelag","steinkjer_1bbb","1BBUB","UB",4,2.61956115,0.208458052876995
"250","Telemark","nome_cappelen1","1CAUB","UB",4,1.7412378625,0.138563306457821
"251","Telemark","drangedal1","1DRUB","UB",4,1.6857928125,0.134151129569082
"252","Telemark","fritsoe1","1FRUB","UB",4,7.6279831625,0.607015613066812
"253","Telemark","furesdal","1FYUB","UB",4,4.7386002875,0.377085829546151
"254","Trøndelag","namdalseid_1kub","1KUB","UB",4,4.955029425,0.394308713077271
"255","Telemark","kviteseid1","1KVUB","UB",4,0.9919467125,0.0789366112890651
"256","Telemark","notodden1","1NOUB","UB",4,3.1027804875,0.246911425957353
"257","Trøndelag","nsb_verdal","1NSUB","UB",4,0.778313,0.0619361806113412
"258","Trøndelag","sub_namdalseid","1SUB","UB",4,1.800555125,0.143283624226598
"259","Trøndelag","verdal_1vb","1VBUB","UB",4,1.346718375,0.107168443166967
"260","Trøndelag","steinkjer_2bbb","2BBUB","UB",4,2.72817435,0.217101216709509
"261","Telemark","nome_cappelen2","2CAUB","UB",4,3.649720675,0.290435543165469
"262","Telemark","fritsoe2","2FRUB","UB",4,3.360939775,0.267455089312706
"263","Telemark","kviteseid2","2KVUB","UB",4,2.4032831875,0.191247199470136
"264","Trøndelag","verdal_2vb","2VBUB","UB",4,4.721734025,0.37574365502197
"265","Telemark","drangedal3","3DRUB","UB",4,0.511806375,0.0407282572435971
"266","Telemark","kviteseid3","3KVUB","UB",4,6.2103119125,0.494200919508429
"267","Telemark","notodden3","3NOUB","UB",4,1.7976233125,0.143050318000801
"268","Telemark","drangedal4","4DRUB","UB",4,5.398501075,0.42959906568658
"269","Telemark","notodden4","4NOUB","UB",4,3.6782066625,0.292702386025209
"270","Telemark","notodden5","5NOUB","UB",4,12.30080355,0.978866844492417
"271","Telemark","notodden6","6NOUB","UB",4,1.4517130375,0.115523652934538
"272","Trøndelag","bratsberg","BRUB","UB",4,5.3464877625,0.425459977791101
"273","Hedmark","nes_1","DDUB","UB",4,18.4678458125,1.46962447465917
"274","Hedmark","didrik_holmsen","DHUB","UB",4,2.661732625,0.211813952228858
"275","Hedmark","fet_3","FKUB","UB",4,2.3601697,0.187816337145358
"276","Hedmark","halvard_pramhus","HPUB","UB",4,1.4146313875,0.112572788986786
"277","Hedmark","kongsvinger_1","IAAUB","UB",4,20.0591981666667,1.59626027134244
"278","Hedmark","kongsvinger_2","JCDUB","UB",4,3.992628275,0.317723262947359
"279","Trøndelag","selbu_kl","KLUB","UB",4,4.71711345,0.375375961346382
"280","Trøndelag","singsaas","LAUB","UB",4,1.961778225,0.156113350879397
"281","Hedmark","nes_2","OLUB","UB",4,9.111630175,0.725080490988261
"282","Hedmark","stig_dahlen","SDUB","UB",4,14.4559296875,1.15036633337725
"283","Trøndelag","sl_tydal","SEUB","UB",4,4.19092075,0.333502876734447
"284","Hedmark","sorum_1","SKUB","UB",4,4.5891190375,0.365190489627623
"285","Trøndelag","selbu_sl","SLUB","UB",4,2.408888325,0.191693242140053
"286","Hedmark","stangeskovene_aurskog","SSAUB","UB",4,2.29339565,0.182502627081475
"287","Hedmark","stangeskovene_eidskog","SSBUB","UB",4,0.9966579375,0.0793115186624491
"288","Hedmark","eidskog","STSKNUB","UB",4,3.5194683875,0.280070395463144
"289","Hedmark","truls_holm","THUB","UB",4,6.25973035,0.49813351381243
"290","Trøndelag","steinkjer_1bbb","1BBB","B",5,2.43780721,0.193994533888281
"291","Telemark","nome_cappelen1","1CAB","B",5,1.995560175,0.158801633044289
"292","Telemark","drangedal1","1DRB","B",5,4.303471025,0.342459343040748
"293","Telemark","fritsoe1","1FRB","B",5,1.83159698,0.145753856559594
"294","Telemark","furesdal","1FYB","B",5,1.587889375,0.126360221557175
"295","Trøndelag","namdalseid_1kub","1KB","B",5,2.346109795,0.186697485455282
"296","Telemark","kviteseid1","1KVB","B",5,3.28562019,0.261461347180516
"297","Telemark","notodden1","1NOB","B",5,1.7341132,0.137996343830452
"298","Trøndelag","nsb_verdal","1NSB","B",5,3.427155835,0.272724395943241
"299","Trøndelag","sub_namdalseid","1SB","B",5,1.02877594,0.0818673880925056
"300","Trøndelag","verdal_1vb","1VBB","B",5,0.77768926,0.0618865449592391
"301","Trøndelag","steinkjer_2bbb","2BBB","B",5,6.54583716,0.520901170344307
"302","Telemark","nome_cappelen2","2CAB","B",5,4.032918125,0.320929427339324
"303","Telemark","fritsoe2","2FRB","B",5,1.983595715,0.157849531569076
"304","Telemark","kviteseid2","2KVB","B",5,3.75899757,0.299131522167961
"305","Trøndelag","verdal_2vb","2VBB","B",5,7.972028595,0.634393878682094
"306","Telemark","drangedal3","3DRB","B",5,0.59326,0.0472101307693489
"307","Telemark","kviteseid3","3KVB","B",5,2.64621371,0.210578996212022
"308","Telemark","notodden3","3NOB","B",5,3.304225105,0.262941879274543
"309","Telemark","drangedal4","4DRB","B",5,4.242849245,0.337635215067733
"310","Telemark","notodden4","4NOB","B",5,1.29700672,0.103212515355703
"311","Telemark","notodden5","5NOB","B",5,6.28314354,0.499996676273455
"312","Telemark","notodden6","6NOB","B",5,2.665424115,0.212107711669295
"313","Trøndelag","bratsberg","BRB","B",5,2.92014442,0.232377709492608
"314","Hedmark","nes_1","DDB","B",5,10.813954725,0.860547174427854
"315","Hedmark","didrik_holmsen","DHB","B",5,4.56155783,0.36299723842202
"316","Hedmark","fet_3","FKB","B",5,4.97256075,0.395703811593621
"317","Hedmark","halvard_pramhus","HPB","B",5,6.48113375,0.515752236576106
"318","Hedmark","kongsvinger_1","IAAB","B",5,19.097969915,1.51976815749628
"319","Hedmark","kongsvinger_2","JCDB","B",5,2.339913355,0.186204388427495
"320","Trøndelag","selbu_kl","KLB","B",5,8.23788108,0.655549747242601
"321","Trøndelag","singsaas","LAB","B",5,2.49712535,0.19871492148629
"322","Hedmark","nes_2","OLB","B",5,23.019208785,1.83181043209857
"323","Hedmark","stig_dahlen","SDB","B",5,4.53772316,0.361100535648288
"324","Trøndelag","sl_tydal","SEB","B",5,1.89353014,0.150682340837244
"325","Hedmark","sorum_1","SKB","B",5,1.368777015,0.10892381396391
"326","Trøndelag","selbu_sl","SLB","B",5,3.47377502,0.276434232811074
"327","Hedmark","stangeskovene_aurskog","SSAB","B",5,2.45617583333333,0.195456262488928
"328","Hedmark","stangeskovene_eidskog","SSBB","B",5,3.610563125,0.287319484344535
"329","Hedmark","eidskog","STSKNB","B",5,7.78699375,0.619669273569097
"330","Hedmark","truls_holm","THB","B",5,5.57385816,0.443553539128548
"331","Trøndelag","steinkjer_1bbb","1BBUB","UB",5,3.515156075,0.279727232537878
"332","Telemark","nome_cappelen1","1CAUB","UB",5,1.919325975,0.152735108162961
"333","Telemark","drangedal1","1DRUB","UB",5,2.802289825,0.222999138812436
"334","Telemark","fritsoe1","1FRUB","UB",5,9.3452098125,0.74366816794513
"335","Telemark","furesdal","1FYUB","UB",5,4.1205504,0.327902982209643
"336","Trøndelag","namdalseid_1kub","1KUB","UB",5,7.0407671,0.560286443561894
"337","Telemark","kviteseid1","1KVUB","UB",5,1.6837473125,0.133988353851035
"338","Telemark","notodden1","1NOUB","UB",5,5.693918125,0.453107607577143
"339","Trøndelag","nsb_verdal","1NSUB","UB",5,0.7405942,0.0589346138775939
"340","Trøndelag","sub_namdalseid","1SUB","UB",5,1.827536125,0.145430703986379
"341","Trøndelag","verdal_1vb","1VBUB","UB",5,0.709537025,0.0564631624177339
"342","Trøndelag","steinkjer_2bbb","2BBUB","UB",5,2.819965425,0.224405718368494
"343","Telemark","nome_cappelen2","2CAUB","UB",5,4.9169112625,0.391275366085543
"344","Telemark","fritsoe2","2FRUB","UB",5,4.896481675,0.389649631167567
"345","Telemark","kviteseid2","2KVUB","UB",5,2.8148091125,0.223995392057243
