"","Region","LocalityName","LocalityCode","Treatment","Years_Since_Exclosure","Mean_Plot_Spruce_Biomass_kg","Mean_Plot_Spruce_Biomass_kg_m2"
"78","Telemark","kviteseid3","3KVB","B",2,1.130194375,0.0899380107179526
"79","Telemark","notodden3","3NOB","B",2,0.130404375,0.0103772504410296
"80","Telemark","drangedal4","4DRB","B",2,0.115915,0.00922422261424852
"81","Telemark","notodden4","4NOB","B",2,0.115915,0.00922422261424852
"82","Telemark","notodden5","5NOB","B",2,3.70928,0.295175123655953
"83","Telemark","notodden6","6NOB","B",2,0.08693625,0.00691816696068639
"84","Trøndelag","bratsberg","BRB","B",2,1.37055625,0.109065400986496
"85","Hedmark","nes 1","DDB","B",2,1.917676875,0.152603876954634
"86","Hedmark","fet_3","FKB","B",2,1.43517375,0.114207498254116
"87","Trøndelag","selbu_flub","FLB","B",2,0.7340775,0.0584160313687704
"88","Trøndelag","hi_tydal","HIB","B",2,0.502423125,0.0399815619337136
"89","Hedmark","kongsvinger 1","IAAB","B",2,5.82442375,0.463492915237167
"90","Hedmark","kongsvinger 2","JCDB","B",2,0.5368325,0.04271977299369
"91","Trøndelag","selbu_kl","KLB","B",2,5.0765225,0.403976824796113
"92","Trøndelag","singsaas","LAB","B",2,0.53357875,0.0424608477956473
"93","Trøndelag","malvik","MAB","B",2,1.303516875,0.103730577029975
"94","Hedmark","nes 2","OLB","B",2,0.4361325,0.034706321609013
"95","Trøndelag","sl_tydal","SEB","B",2,0.26841625,0.021359886496845
"96","Hedmark","sørum 1","SKB","B",2,0.578373333333333,0.0460254874762682
"97","Trøndelag","selbu_sl","SLB","B",2,0.620515,0.0493790147563337
"98","Hedmark","eidskog","STSKNB","B",2,1.60724375,0.127900393783027
"99","Trøndelag","steinkjer_1bbb","1BBUB","UB",2,1.07859333333333,0.0858317302929822
"100","Telemark","nome_cappelen1","1CAUB","UB",2,0.09517,0.00757338796702784
"101","Telemark","drangedal1","1DRUB","UB",2,0.3093025,0.0246135108928405
"102","Telemark","fritsoe1","1FRUB","UB",2,1.3085875,0.104134084546633
"103","Telemark","furesdal","1FYUB","UB",2,0.983423333333333,0.0782583423259543
"104","Trøndelag","namdalseid_1kub","1KUB","UB",2,2.0699475,0.164721188282856
"105","Telemark","kviteseid1","1KVUB","UB",2,0.85653,0.0681604917032506
"106","Telemark","notodden1","1NOUB","UB",2,0.28551,0.0227201639010835
"107","Trøndelag","nsb_verdal","1NSUB","UB",2,0.09517,0.00757338796702784
"108","Trøndelag","sub_namdalseid","1SUB","UB",2,0.1189625,0.0094667349587848
"109","Trøndelag","verdal_1vb","1VBUB","UB",2,0.09517,0.00757338796702784
"110","Trøndelag","steinkjer_2bbb","2BBUB","UB",2,2.47442,0.196908087142724
"111","Telemark","nome_cappelen2","2CAUB","UB",2,0.38068,0.0302935518681114
"112","Telemark","fritsoe2","2FRUB","UB",2,0.76136,0.0605871037362227
"113","Telemark","kviteseid2","2KVUB","UB",2,0.47585,0.0378669398351392
"114","Trøndelag","verdal_2vb","2VBUB","UB",2,0.808945,0.0643737977197366
"115","Telemark","drangedal3","3DRUB","UB",2,0.19034,0.0151467759340557
"116","Telemark","kviteseid3","3KVUB","UB",2,4.139895,0.329442376565711
"117","Telemark","notodden3","3NOUB","UB",2,0.3568875,0.0284002048763544
"118","Telemark","drangedal4","4DRUB","UB",2,0.3568875,0.0284002048763544
"119","Telemark","notodden4","4NOUB","UB",2,0.76136,0.0605871037362227
"120","Telemark","notodden5","5NOUB","UB",2,14.1565375,1.12654146009539
"121","Telemark","notodden6","6NOUB","UB",2,0.09517,0.00757338796702784
"122","Trøndelag","bratsberg","BRUB","UB",2,0.85653,0.0681604917032506
"123","Hedmark","nes 1","DDUB","UB",2,10.8731725,0.865259575232931
"124","Hedmark","fet_3","FKUB","UB",2,0.4044725,0.0321868988598683
"125","Trøndelag","selbu_flub","FLUB","UB",2,0.85653,0.0681604917032506
"126","Trøndelag","hi_tydal","HIUB","UB",2,0.85653,0.0681604917032506
"127","Hedmark","kongsvinger 1","IAAUB","UB",2,16.1789,1.28747595439473
"128","Hedmark","kongsvinger 2","JCDUB","UB",2,1.52272,0.121174207472445
"129","Trøndelag","selbu_kl","KLUB","UB",2,2.37925,0.189334699175696
"130","Trøndelag","singsaas","LAUB","UB",2,2.18891,0.17418792324164
"131","Trøndelag","malvik","MAUB","UB",2,0.697913333333333,0.0555381784248708
"132","Hedmark","nes 2","OLUB","UB",2,0.808945,0.0643737977197366
"133","Trøndelag","sl_tydal","SEUB","UB",2,0.428265,0.0340802458516253
"134","Hedmark","sørum 1","SKUB","UB",2,0.4044725,0.0321868988598683
"135","Trøndelag","selbu_sl","SLUB","UB",2,0.333095,0.0265068578845974
"136","Hedmark","eidskog","STSKNUB","UB",2,1.61789,0.128747595439473
"137","Trøndelag","steinkjer_1bbb","1BBB","B",3,0.7896825,0.0628409366740828
"138","Telemark","nome_cappelen1","1CAB","B",3,0.14489375,0.0115302782678107
"139","Telemark","drangedal1","1DRB","B",3,0.766134375,0.0609670364269349
"140","Telemark","fritsoe1","1FRB","B",3,0.734803125,0.0584737747715609
"141","Telemark","furesdal","1FYB","B",3,0.69549,0.0553453356854911
"142","Trøndelag","namdalseid_1kub","1KB","B",3,0.327825,0.0260874846095503
"143","Telemark","kviteseid1","1KVB","B",3,0.1890875,0.0150471051509444
"144","Telemark","notodden1","1NOB","B",3,0.23183,0.018448445228497
"145","Trøndelag","nsb_verdal","1NSB","B",3,0.8851275,0.0704362084457858
"146","Trøndelag","sub_namdalseid","1SB","B",3,0.138011875,0.0109826360558154
"147","Trøndelag","verdal_1vb","1VBB","B",3,0.0579575,0.00461211130712426
"148","Trøndelag","steinkjer_2bbb","2BBB","B",3,4.49219625,0.357477619263188
"149","Telemark","nome_cappelen2","2CAB","B",3,0.270468333333333,0.0215231860999132
"150","Telemark","fritsoe2","2FRB","B",3,0.616886875,0.0490902977423811
"151","Telemark","kviteseid2","2KVB","B",3,0.89854,0.0715035412828958
"152","Trøndelag","verdal_2vb","2VBB","B",3,1.6326175,0.129919572651666
"153","Telemark","kviteseid3","3KVB","B",3,1.05629625,0.0840573847784662
"154","Telemark","notodden3","3NOB","B",3,0.14489375,0.0115302782678107
"155","Telemark","drangedal4","4DRB","B",3,0.269141875,0.0214176298996355
"156","Telemark","notodden4","4NOB","B",3,0.115915,0.00922422261424852
"157","Telemark","notodden5","5NOB","B",3,3.24562,0.258278233198959
"158","Telemark","notodden6","6NOB","B",3,0.08693625,0.00691816696068639
"159","Trøndelag","bratsberg","BRB","B",3,1.8182325,0.144690345032667
"160","Hedmark","nes 1","DDB","B",3,2.062570625,0.164134155222445
"161","Hedmark","didrik_holmsen","DHB","B",3,0.9260675,0.0736941101308769
"162","Hedmark","fet_3","FKB","B",3,1.603615625,0.127611676769075
"163","Trøndelag","selbu_flub","FLB","B",3,1.6079925,0.127959977414847
"164","Trøndelag","hi_tydal","HIB","B",3,0.83622875,0.0665449695590284
"165","Hedmark","halvard_pramhus","HPB","B",3,1.01861,0.0810584082914178
"166","Hedmark","kongsvinger 1","IAAB","B",3,7.285345625,0.579749384175832
"167","Hedmark","kongsvinger 2","JCDB","B",3,0.425989166666667,0.0338991407892986
"168","Trøndelag","selbu_kl","KLB","B",3,2.7411125,0.218130801972991
"169","Trøndelag","singsaas","LAB","B",3,0.854521875,0.0680006901932024
"170","Trøndelag","malvik","MAB","B",3,1.926934375,0.153340565397471
"171","Hedmark","nes 2","OLB","B",3,0.6394675,0.0508872067858083
"172","Hedmark","stig_dahlen","SDB","B",3,1.536248125,0.122250741454703
"173","Trøndelag","sl_tydal","SEB","B",3,0.34158875,0.0271827690335408
"174","Hedmark","sørum 1","SKB","B",3,0.763356666666667,0.0607459934210761
"175","Trøndelag","selbu_sl","SLB","B",3,1.121135625,0.0892171382975858
"176","Hedmark","stangeskovene_eidskog","SSBB","B",3,3.365935,0.267852596688009
"177","Hedmark","eidskog","STSKNB","B",3,2.104961875,0.167507543713117
"178","Hedmark","truls_holm","THB","B",3,0.614534375,0.0489030917405692
"179","Trøndelag","steinkjer_1bbb","1BBUB","UB",3,0.793083333333333,0.0631115663918987
