"","Region","LocalityName","LocalityCode","Treatment","Years_Since_Exclosure","Mean_Plot_Decid_Biomass_kg","Mean_Plot_Decid_Biomass_kg_m2"
"77","Telemark","notodden6","6NOB","B",2,0.21549474,0.0171485265406514
"78","Trøndelag","bratsberg","BRB","B",2,1.81387342,0.144343460468001
"79","Trøndelag","selbu_flub","FLB","B",2,0.35240816,0.0280437503249598
"80","Trøndelag","hi_tydal","HIB","B",2,3.07132448,0.244408236415573
"81","Trøndelag","selbu_kl","KLB","B",2,1.47090269333333,0.117050717225591
"82","Trøndelag","singsaas","LAB","B",2,0.23780924,0.0189242580294634
"83","Trøndelag","malvik","MAB","B",2,0.49290794,0.0392243675701217
"84","Trøndelag","sl_tydal","SEB","B",2,0.1742829,0.0138689925156952
"85","Trøndelag","selbu_sl","SLB","B",2,0.25837825,0.0205610878374668
"86","Trøndelag","steinkjer_1bbb","1BBUB","UB",2,0.56556495,0.0450062287160103
"87","Telemark","nome_cappelen1","1CAUB","UB",2,0.04376035,0.00348233800696571
"88","Telemark","drangedal1","1DRUB","UB",2,0.438357475,0.034883379493766
"89","Telemark","fritsoe1","1FRUB","UB",2,1.691876475,0.134635252048571
"90","Telemark","furesdal","1FYUB","UB",2,0.22413265,0.0178359095778929
"91","Trøndelag","namdalseid_1kub","1KUB","UB",2,0.5457543,0.0434297472793286
"92","Telemark","kviteseid1","1KVUB","UB",2,0.164980466666667,0.0131287283918038
"93","Trøndelag","nsb_verdal","1NSUB","UB",2,0.5834923,0.0464328419005296
"94","Trøndelag","sub_namdalseid","1SUB","UB",2,0.664407125,0.0528718390846124
"95","Trøndelag","verdal_1vb","1VBUB","UB",2,0.4631538,0.0368566083408975
"96","Trøndelag","steinkjer_2bbb","2BBUB","UB",2,0.801118575,0.0637509906069926
"97","Telemark","nome_cappelen2","2CAUB","UB",2,1.4961386,0.119058926870294
"98","Telemark","fritsoe2","2FRUB","UB",2,0.3580909,0.0284959684056128
"99","Telemark","kviteseid2","2KVUB","UB",2,0.174374475,0.0138762798226521
"100","Trøndelag","verdal_2vb","2VBUB","UB",2,1.4566905,0.115919746815002
"101","Telemark","drangedal3","3DRUB","UB",2,0.1141666,0.00908508936299759
"102","Telemark","kviteseid3","3KVUB","UB",2,0.89699165,0.0713803275048277
"103","Telemark","notodden3","3NOUB","UB",2,0.3484819,0.0277313084815278
"104","Telemark","drangedal4","4DRUB","UB",2,1.628414425,0.129585102570448
"105","Telemark","notodden5","5NOUB","UB",2,0.513662975,0.0408760007772693
"106","Telemark","notodden6","6NOUB","UB",2,0.432730566666667,0.0344356043559785
"107","Trøndelag","bratsberg","BRUB","UB",2,1.73687735,0.138216307898426
"108","Trøndelag","selbu_flub","FLUB","UB",2,1.064065525,0.0846756440387114
"109","Trøndelag","hi_tydal","HIUB","UB",2,1.025223425,0.0815846879311765
"110","Trøndelag","selbu_kl","KLUB","UB",2,0.112309133333333,0.00893727686218338
"111","Trøndelag","malvik","MAUB","UB",2,0.467517,0.0372038207647468
"112","Trøndelag","sl_tydal","SEUB","UB",2,1.17239206666667,0.0932959963258615
