"","Region","LocalityName","LocalityCode","Treatment","Years_Since_Exclosure","Mean_Plot_Pine_Biomass_kg","Mean_Plot_Pine_Biomass_kg_m2"
"79","Telemark","nome_cappelen1","1CAB","B",3,0.703765,0.0560038392625339
"80","Telemark","drangedal1","1DRB","B",3,0.82392,0.0655654703561372
"81","Telemark","fritsoe1","1FRB","B",3,0.3433,0.0273189459817238
"82","Telemark","furesdal","1FYB","B",3,0.291805,0.0232211040844653
"83","Telemark","kviteseid1","1KVB","B",3,0.44629,0.035514629776241
"84","Trøndelag","nsb_verdal","1NSB","B",3,0.20598,0.0163913675890343
"85","Trøndelag","sub_namdalseid","1SB","B",3,0.06866,0.00546378919634477
"86","Trøndelag","verdal_1vb","1VBB","B",3,0.434846666666667,0.0346039982435169
"87","Telemark","nome_cappelen2","2CAB","B",3,1.253045,0.099714152833292
"88","Telemark","kviteseid2","2KVB","B",3,0.44629,0.035514629776241
"89","Trøndelag","verdal_2vb","2VBB","B",3,0.27464,0.0218551567853791
"90","Telemark","notodden3","3NOB","B",3,1.81949,0.144790413703136
"91","Telemark","notodden5","5NOB","B",3,0.13732,0.0109275783926895
"92","Telemark","notodden6","6NOB","B",3,1.54485,0.122935256917757
"93","Trøndelag","bratsberg","BRB","B",3,0.06866,0.00546378919634477
"94","Hedmark","didrik_holmsen","DHB","B",3,0.183093333333333,0.014570104523586
"95","Hedmark","halvard_pramhus","HPB","B",3,4.08527,0.325095457182514
"96","Trøndelag","selbu_kl","KLB","B",3,1.665005,0.132496888011361
"97","Trøndelag","singsaas","LAB","B",3,0.640826666666667,0.0509953658325512
"98","Hedmark","stig_dahlen","SDB","B",3,0.06866,0.00546378919634477
"99","Trøndelag","sl_tydal","SEB","B",3,0.17165,0.0136594729908619
"100","Hedmark","stangeskovene_aurskog","SSAB","B",3,0.75526,0.0601016811597924
"101","Hedmark","stangeskovene_eidskog","SSBB","B",3,0.61794,0.0491741027671029
"102","Hedmark","eidskog","STSKNB","B",3,2.179955,0.173475306983946
"103","Hedmark","truls_holm","THB","B",3,0.82392,0.0655654703561372
"104","Telemark","nome_cappelen1","1CAUB","UB",3,0.548779,0.0436704452575136
"105","Telemark","drangedal1","1DRUB","UB",3,0.149667,0.0119101214338673
"106","Telemark","fritsoe1","1FRUB","UB",3,0.149667,0.0119101214338674
"107","Telemark","furesdal","1FYUB","UB",3,0.31180625,0.0248127529872236
"108","Telemark","kviteseid1","1KVUB","UB",3,0.168375375,0.0133988866131008
"109","Trøndelag","verdal_1vb","1VBUB","UB",3,0.1590211875,0.0126545040234841
"110","Telemark","nome_cappelen2","2CAUB","UB",3,0.9821896875,0.0781601719097545
"111","Telemark","kviteseid2","2KVUB","UB",3,0.056125125,0.00446629553770026
"112","Trøndelag","verdal_2vb","2VBUB","UB",3,0.149667,0.0119101214338673
"113","Telemark","drangedal3","3DRUB","UB",3,0.056125125,0.00446629553770026
"114","Telemark","kviteseid3","3KVUB","UB",3,0.03741675,0.00297753035846684
"115","Telemark","notodden3","3NOUB","UB",3,0.78575175,0.0625281375278036
"116","Telemark","notodden5","5NOUB","UB",3,0.16213925,0.0129026315533563
"117","Telemark","notodden6","6NOUB","UB",3,0.505126125,0.0401966598393023
"118","Trøndelag","bratsberg","BRUB","UB",3,0.03741675,0.00297753035846684
"119","Hedmark","fet_3","FKUB","UB",3,0.149667,0.0119101214338673
"120","Trøndelag","hi_tydal","HIUB","UB",3,0.03741675,0.00297753035846684
"121","Hedmark","halvard_pramhus","HPUB","UB",3,0.8231685,0.0655056678862704
"122","Trøndelag","selbu_kl","KLUB","UB",3,1.739878875,0.138455161668708
"123","Trøndelag","singsaas","LAUB","UB",3,0.199556,0.0158801619118231
"124","Trøndelag","malvik","MAUB","UB",3,0.318042375,0.0253090080469681
"125","Hedmark","stig_dahlen","SDUB","UB",3,0.3273965625,0.0260533906365848
"126","Trøndelag","sl_tydal","SEUB","UB",3,0.093541875,0.00744382589616709
"127","Hedmark","stangeskovene_aurskog","SSAUB","UB",3,0.598668,0.0476404857354694
"128","Hedmark","stangeskovene_eidskog","SSBUB","UB",3,0.0748335,0.00595506071693367
"129","Hedmark","eidskog","STSKNUB","UB",3,2.444561,0.194531983419833
"130","Hedmark","truls_holm","THUB","UB",3,0.18708375,0.0148876517923342
"131","Trøndelag","steinkjer_1bbb","1BBB","B",4,0.27464,0.0218551567853791
"132","Telemark","nome_cappelen1","1CAB","B",4,1.06423,0.0846887325433439
"133","Telemark","drangedal1","1DRB","B",4,1.30454,0.103811994730551
"134","Telemark","fritsoe1","1FRB","B",4,0.30897,0.0245870513835515
"135","Telemark","furesdal","1FYB","B",4,0.566445,0.0450762608698443
"136","Telemark","kviteseid1","1KVB","B",4,0.85825,0.0682973649543096
"137","Trøndelag","nsb_verdal","1NSB","B",4,0.17165,0.0136594729908619
"138","Trøndelag","sub_namdalseid","1SB","B",4,0.06866,0.00546378919634477
"139","Trøndelag","verdal_1vb","1VBB","B",4,0.434846666666667,0.0346039982435169
"140","Trøndelag","steinkjer_2bbb","2BBB","B",4,0.06866,0.00546378919634477
"141","Telemark","nome_cappelen2","2CAB","B",4,1.95681,0.155717992095826
