"","Region","LocalityName","LocalityCode","Treatment","Years_Since_Exclosure","Mean_Plot_Pine_Biomass_kg","Mean_Plot_Pine_Biomass_kg_m2"
"341","Trøndelag","bratsberg","BRUB","UB",7,0.130958625,0.0104213562546339
"342","Trøndelag","hi_tydal","HIUB","UB",7,0.598668,0.0476404857354694
"343","Hedmark","halvard_pramhus","HPUB","UB",7,3.33009075,0.265000201903549
"344","Trøndelag","selbu_kl","KLUB","UB",7,4.5180725625,0.359536790784871
"345","Trøndelag","singsaas","LAUB","UB",7,0.6080221875,0.0483848683250861
"346","Trøndelag","malvik","MAUB","UB",7,1.515378375,0.120589979517907
"347","Hedmark","stig_dahlen","SDUB","UB",7,2.4414429375,0.194283855889961
"348","Trøndelag","sl_tydal","SEUB","UB",7,0.841876875,0.0669944330655038
"349","Hedmark","stangeskovene_aurskog","SSAUB","UB",7,1.9706155,0.156816598879253
"350","Hedmark","stangeskovene_eidskog","SSBUB","UB",7,0.449001,0.035730364301602
"351","Hedmark","eidskog","STSKNUB","UB",7,3.722966625,0.29626427066745
"352","Hedmark","truls_holm","THUB","UB",7,1.3719475,0.109176113143784
"353","Trøndelag","steinkjer_1bbb","1BBB","B",8,0.27464,0.0218551567853791
"354","Telemark","nome_cappelen1","1CAB","B",8,2.90660666666667,0.231300409311928
"355","Telemark","drangedal1","1DRB","B",8,5.132335,0.408418242426771
"356","Telemark","fritsoe1","1FRB","B",8,1.54485,0.122935256917757
"357","Telemark","furesdal","1FYB","B",8,1.40753,0.112007678525068
"358","Telemark","kviteseid1","1KVB","B",8,2.23145,0.177573148881205
"359","Trøndelag","nsb_verdal","1NSB","B",8,0.41196,0.0327827351780686
"360","Trøndelag","sub_namdalseid","1SB","B",8,0.27464,0.0218551567853791
"361","Trøndelag","verdal_1vb","1VBB","B",8,0.503506666666667,0.0400677874398616
"362","Telemark","nome_cappelen2","2CAB","B",8,5.35548,0.426175557314892
"363","Telemark","kviteseid2","2KVB","B",8,3.05537,0.243138619237342
"364","Trøndelag","verdal_2vb","2VBB","B",8,3.50166,0.278653249013583
"365","Telemark","drangedal3","3DRB","B",8,0.3433,0.0273189459817238
"366","Telemark","notodden3","3NOB","B",8,9.13178,0.726683963113854
"367","Telemark","drangedal4","4DRB","B",8,0.61794,0.0491741027671029
"368","Telemark","notodden5","5NOB","B",8,1.06423,0.0846887325433439
"369","Telemark","notodden6","6NOB","B",8,5.32115,0.423443662716719
"370","Trøndelag","bratsberg","BRB","B",8,0.3433,0.0273189459817238
"371","Hedmark","didrik_holmsen","DHB","B",8,0.846806666666667,0.0673867334215855
"372","Trøndelag","hi_tydal","HIB","B",8,0.06866,0.00546378919634477
"373","Hedmark","halvard_pramhus","HPB","B",8,12.410295,0.987579897239317
"374","Trøndelag","selbu_kl","KLB","B",8,3.05537,0.243138619237342
"375","Trøndelag","singsaas","LAB","B",8,1.493355,0.118837415020499
"376","Hedmark","stig_dahlen","SDB","B",8,0.24031,0.0191232621872067
"377","Trøndelag","sl_tydal","SEB","B",8,0.99557,0.0792249433469991
"378","Hedmark","stangeskovene_aurskog","SSAB","B",8,4.29125,0.341486824771548
"379","Hedmark","stangeskovene_eidskog","SSBB","B",8,1.68217,0.133862835310447
"380","Hedmark","truls_holm","THB","B",8,8.633995,0.687071491440355
"381","Telemark","nome_cappelen1","1CAUB","UB",8,2.1234005625,0.168974847842993
"382","Telemark","drangedal1","1DRUB","UB",8,1.347003,0.107191092904806
"383","Telemark","fritsoe1","1FRUB","UB",8,1.6213925,0.129026315533563
"384","Telemark","furesdal","1FYUB","UB",8,0.9447729375,0.0751826415512876
"385","Telemark","kviteseid1","1KVUB","UB",8,1.2721695,0.101236032187872
"386","Trøndelag","verdal_1vb","1VBUB","UB",8,0.205792125,0.0163764169715676
"387","Telemark","nome_cappelen2","2CAUB","UB",8,4.5367809375,0.361025555964104
"388","Telemark","kviteseid2","2KVUB","UB",8,0.249445,0.0198502023897789
"389","Trøndelag","verdal_2vb","2VBUB","UB",8,0.33675075,0.0267977732262015
"390","Telemark","drangedal3","3DRUB","UB",8,0.168375375,0.0133988866131008
"391","Telemark","notodden3","3NOUB","UB",8,3.4672855,0.275917813217927
"392","Telemark","notodden5","5NOUB","UB",8,0.71091825,0.0565730768108699
"393","Telemark","notodden6","6NOUB","UB",8,3.10559025,0.247135019752748
"394","Trøndelag","bratsberg","BRUB","UB",8,0.0748335,0.00595506071693367
"395","Trøndelag","hi_tydal","HIUB","UB",8,0.93541875,0.0744382589616709
"396","Hedmark","halvard_pramhus","HPUB","UB",8,4.35281525,0.346386031701642
"397","Trøndelag","selbu_kl","KLUB","UB",8,5.3038243125,0.422064928312674
"398","Trøndelag","singsaas","LAUB","UB",8,0.6267305625,0.0498736335043195
"399","Trøndelag","malvik","MAUB","UB",8,2.151463125,0.171207995611843
"400","Hedmark","stig_dahlen","SDUB","UB",8,2.6472350625,0.210660272861529
"401","Trøndelag","sl_tydal","SEUB","UB",8,1.03519675,0.0823783399175825
"402","Hedmark","stangeskovene_aurskog","SSAUB","UB",8,2.2917759375,0.182373734456094
"403","Hedmark","stangeskovene_eidskog","SSBUB","UB",8,0.8325226875,0.0662500504758871
"404","Hedmark","truls_holm","THUB","UB",8,2.28242175,0.181629351866477
"405","Telemark","nome_cappelen1","1CAB","B",9,4.514395,0.359244139659668
"406","Telemark","drangedal1","1DRB","B",9,6.04208,0.48081344927834
"407","Telemark","fritsoe1","1FRB","B",9,2.02547,0.161181781292171
"408","Telemark","furesdal","1FYB","B",9,1.562015,0.124301204216843
"409","Telemark","kviteseid1","1KVB","B",9,2.23145,0.177573148881205
"410","Trøndelag","nsb_verdal","1NSB","B",9,0.75526,0.0601016811597924
"411","Trøndelag","sub_namdalseid","1SB","B",9,0.27464,0.0218551567853791
"412","Trøndelag","verdal_1vb","1VBB","B",9,0.709486666666667,0.0564591550288959
"413","Telemark","nome_cappelen2","2CAB","B",9,6.11074,0.486277238474684
"414","Telemark","kviteseid2","2KVB","B",9,4.66888,0.371537665351444
"415","Trøndelag","verdal_2vb","2VBB","B",9,0.3433,0.0273189459817238
"416","Telemark","drangedal3","3DRB","B",9,0.20598,0.0163913675890343
"417","Telemark","notodden3","3NOB","B",9,9.389255,0.747173172600147
"418","Telemark","drangedal4","4DRB","B",9,0.61794,0.0491741027671029
"419","Telemark","notodden5","5NOB","B",9,1.06423,0.0846887325433439
"420","Telemark","notodden6","6NOB","B",9,6.83167,0.543647025036304
"421","Trøndelag","bratsberg","BRB","B",9,0.20598,0.0163913675890343
"422","Trøndelag","hi_tydal","HIB","B",9,0.06866,0.00546378919634477
"423","Trøndelag","selbu_kl","KLB","B",9,3.415835,0.271823512518152
"424","Trøndelag","singsaas","LAB","B",9,1.493355,0.118837415020499
"425","Trøndelag","sl_tydal","SEB","B",9,0.915466666666667,0.0728505226179302
"426","Trøndelag","selbu_sl","SLB","B",9,0.06866,0.00546378919634477
"427","Telemark","nome_cappelen1","1CAUB","UB",9,2.6472350625,0.210660272861529
"428","Telemark","drangedal1","1DRUB","UB",9,1.83342075,0.145898987564875
"429","Telemark","fritsoe1","1FRUB","UB",9,2.10781025,0.167734210193632
"430","Telemark","furesdal","1FYUB","UB",9,1.1692734375,0.0930478237020887
"431","Telemark","kviteseid1","1KVUB","UB",9,2.05792125,0.163764169715676
"432","Trøndelag","nsb_verdal","1NSUB","UB",9,0.598668,0.0476404857354694
"433","Trøndelag","verdal_1vb","1VBUB","UB",9,0.3086881875,0.0245646254573514
"434","Telemark","nome_cappelen2","2CAUB","UB",9,5.87442975,0.467472266279294
"435","Telemark","kviteseid2","2KVUB","UB",9,0.4240565,0.0337453440626242
"436","Trøndelag","verdal_2vb","2VBUB","UB",9,0.748335,0.0595506071693368
"437","Telemark","drangedal3","3DRUB","UB",9,0.243208875,0.0193539473300344
"438","Telemark","notodden3","3NOUB","UB",9,3.9162865,0.311648177519529
"439","Telemark","notodden5","5NOUB","UB",9,0.81069625,0.0645131577667815
"440","Telemark","notodden6","6NOUB","UB",9,3.6574873125,0.291053592540133
"441","Trøndelag","bratsberg","BRUB","UB",9,0.1247225,0.00992510119488946
"442","Trøndelag","hi_tydal","HIUB","UB",9,0.93541875,0.0744382589616709
"443","Trøndelag","selbu_kl","KLUB","UB",9,6.454389375,0.513623986835529
"444","Trøndelag","singsaas","LAUB","UB",9,0.7389808125,0.05880622457972
"445","Trøndelag","malvik","MAUB","UB",9,2.675297625,0.212893420630379
"446","Trøndelag","sl_tydal","SEUB","UB",9,1.2721695,0.101236032187872
"447","Trøndelag","nsb_verdal","1NSB","B",10,0.75526,0.0601016811597924
"448","Trøndelag","sub_namdalseid","1SB","B",10,0.17165,0.0136594729908619
"449","Trøndelag","verdal_1vb","1VBB","B",10,0.54928,0.0437103135707581
"450","Trøndelag","verdal_2vb","2VBB","B",10,0.17165,0.0136594729908619
"451","Trøndelag","bratsberg","BRB","B",10,0.20598,0.0163913675890343
"452","Trøndelag","hi_tydal","HIB","B",10,0.06866,0.00546378919634477
"453","Trøndelag","selbu_kl","KLB","B",10,2.763565,0.219917515152877
"454","Trøndelag","singsaas","LAB","B",10,1.630675,0.129764993413188
"455","Trøndelag","sl_tydal","SEB","B",10,1.05278666666667,0.0837781010106198
"456","Trøndelag","selbu_sl","SLB","B",10,0.27464,0.0218551567853791
"457","Trøndelag","nsb_verdal","1NSUB","UB",10,0.598668,0.0476404857354694
"458","Trøndelag","verdal_1vb","1VBUB","UB",10,0.3835216875,0.0305196861742851
"459","Trøndelag","verdal_2vb","2VBUB","UB",10,0.748335,0.0595506071693368
"460","Trøndelag","bratsberg","BRUB","UB",10,0.199556,0.0158801619118231
"461","Trøndelag","hi_tydal","HIUB","UB",10,1.347003,0.107191092904806
"462","Trøndelag","selbu_kl","KLUB","UB",10,6.2018263125,0.493525656915878
"463","Trøndelag","singsaas","LAUB","UB",10,0.804460125,0.064016902707037
"464","Trøndelag","malvik","MAUB","UB",10,2.8904439375,0.230014220191563
"465","Trøndelag","sl_tydal","SEUB","UB",10,2.18264375,0.173689270910566
"466","Trøndelag","nsb_verdal","1NSB","B",11,0.75526,0.0601016811597924
"467","Trøndelag","sub_namdalseid","1SB","B",11,0.3433,0.0273189459817238
"468","Trøndelag","verdal_1vb","1VBB","B",11,0.572166666666667,0.0455315766362064
"469","Trøndelag","verdal_2vb","2VBB","B",11,0.27464,0.0218551567853791
"470","Trøndelag","bratsberg","BRB","B",11,0.20598,0.0163913675890343
"471","Trøndelag","hi_tydal","HIB","B",11,0.06866,0.00546378919634477
"472","Trøndelag","selbu_kl","KLB","B",11,2.488925,0.198062358367498
"473","Trøndelag","singsaas","LAB","B",11,1.973975,0.157083939394912
"474","Trøndelag","sl_tydal","SEB","B",11,0.984126666666667,0.078314311814275
"475","Trøndelag","selbu_sl","SLB","B",11,0.27464,0.0218551567853791
"476","Trøndelag","nsb_verdal","1NSUB","UB",11,0.93541875,0.0744382589616709
"477","Trøndelag","verdal_1vb","1VBUB","UB",11,0.3648133125,0.0290309209950517
"478","Trøndelag","verdal_2vb","2VBUB","UB",11,1.2721695,0.101236032187872
"479","Trøndelag","bratsberg","BRUB","UB",11,0.2743895,0.0218352226287568
"480","Trøndelag","hi_tydal","HIUB","UB",11,3.6668415,0.29179797512975
"481","Trøndelag","selbu_kl","KLUB","UB",11,7.3991623125,0.588806628386817
"482","Trøndelag","singsaas","LAUB","UB",11,1.178627625,0.0937922062917054
"483","Trøndelag","malvik","MAUB","UB",11,3.0588193125,0.243413106804664
"484","Trøndelag","sl_tydal","SEUB","UB",11,2.73142275,0.217359716168079
