"","Region","LocalityName","LocalityCode","Treatment","Years_Since_Exclosure","Month","Mean_Plot_Albedo","Delta_Albedo","Mean_Plot_Biomass_kg_m2","Mean_Plot_Biomass_kg_ha","Delta_Biomass_kg_m2","Delta_Biomass_kg_ha"
"52","Trøndelag","hi_tydal","HIUB","UB",1,1,0.442502010593985,NA,0.0346423244116774,346.423244116774,NA,NA
"53","Trøndelag","selbu_kl","KLUB","UB",1,1,0.416315364039938,NA,0.0336543452344746,336.543452344746,NA,NA
"54","Trøndelag","singsaas","LAUB","UB",1,1,0.384773696484339,NA,0.160033657427074,1600.33657427074,NA,NA
"55","Trøndelag","malvik","MAUB","UB",1,1,0.438756466525074,NA,0.0383679765062052,383.679765062052,NA,NA
"56","Trøndelag","sl_tydal","SEUB","UB",1,1,0.433597958053059,NA,0.0209819412534847,209.819412534847,NA,NA
"57","Trøndelag","selbu_sl","SLUB","UB",1,1,0.433115186685863,NA,0.0287043042155569,287.043042155569,NA,NA
"58","Trøndelag","steinkjer_1bbb","1BBB","B",2,1,0.449637119240877,0.10098257691452,0.0394918206879025,394.918206879025,0.0201196246520932,201.196246520932
"59","Telemark","nome_cappelen1","1CAB","B",2,1,0.418158864213414,0.0757377269884725,0.0229800631273779,229.800631273779,0.010246348285548,102.46348285548
"60","Telemark","drangedal1","1DRB","B",2,1,0.428972511906471,0.0902414571492365,0.0517708413960522,517.708413960522,0.0266378125612102,266.378125612102
"61","Telemark","fritsoe1","1FRB","B",2,1,0.413903770678464,0.0784978137839542,0.0322710341310971,322.710341310971,0.0155700313960522,155.700313960522
"62","Telemark","furesdal","1FYB","B",2,1,0.398436786908577,0.0633835669545793,0.0188373801206779,188.373801206779,0.00636500406160262,63.6500406160262
"63","Trøndelag","namdalseid_1kub","1KB","B",2,1,0.449191723525983,0.102573991743155,0.0633912204602461,633.912204602461,0.0180048008246284,180.048008246284
"64","Telemark","kviteseid1","1KVB","B",2,1,0.451563903632226,0.103384075964448,0.0426320790179337,426.320790179337,0.0173481927829579,173.481927829579
"65","Trøndelag","nsb_verdal","1NSB","B",2,1,0.436765771432272,0.0929679094543167,0.0413531584375048,413.531584375049,0.0309125153889797,309.125153889797
"66","Trøndelag","sub_namdalseid","1SB","B",2,1,0.445505988560125,0.0990161265934645,0.0225517166966392,225.517166966392,0.00747938707876419,74.7938707876419
"67","Trøndelag","verdal_1vb","1VBB","B",2,1,0.432428477450915,0.084748561249873,0.0144752784169425,144.752784169425,0,0
"68","Trøndelag","steinkjer_2bbb","2BBB","B",2,1,0.445660623075315,0.099067766090278,0.30877910807168,3087.7910807168,0.110347203465057,1103.47203465057
"69","Telemark","nome_cappelen2","2CAB","B",2,1,0.428830427970769,0.0828205902944295,0.0353123537907551,353.123537907551,-0.00322771198182336,-32.2771198182335
"70","Telemark","fritsoe2","2FRB","B",2,1,0.419398842848073,0.0806389136400257,0.027548213451896,275.48213451896,0.00691180076296272,69.1180076296272
"71","Telemark","kviteseid2","2KVB","B",2,1,0.436044227071164,0.0908822683167126,0.0267608620117997,267.608620117997,-0.0281373809127225,-281.373809127225
"72","Trøndelag","verdal_2vb","2VBB","B",2,1,0.431373065431615,0.0900535341354108,0.115521050154387,1155.21050154387,0.0467133684032233,467.133684032233
"73","Telemark","drangedal3","3DRB","B",2,1,0.454133689114231,NA,0.00280868685821422,28.0868685821422,NA,NA
"74","Telemark","kviteseid3","3KVB","B",2,1,0.447794729865749,0.100278375258874,0.102982955040435,1029.82955040435,0.016150698258739,161.50698258739
"75","Telemark","notodden3","3NOB","B",2,1,0.421077425744119,0.0759797560526922,0.0522266476248972,522.266476248972,0.015843029074163,158.43029074163
"76","Telemark","drangedal4","4DRB","B",2,1,0.449160949371822,0.103231848222566,0.0756865450007661,756.865450007661,-0.00357569073672361,-35.7569073672362
"77","Telemark","notodden5","5NOB","B",2,1,0.408639541828438,0.0731668913323915,0.0194042812744493,194.042812744493,0.00545672669574506,54.5672669574506
"78","Telemark","notodden6","6NOB","B",2,1,0.420014648575223,0.075444725286325,0.0574571021464991,574.571021464991,0.0127623627315864,127.623627315864
"79","Trøndelag","bratsberg","BRB","B",2,1,0.451199888135202,0.102006592912076,0.117048275921393,1170.48275921393,0.0084929581718725,84.9295817187249
"80","Hedmark","fet_3","FKB","B",2,1,0.404808816521375,NA,0.0157147657076379,157.147657076379,NA,NA
"81","Trøndelag","selbu_flub","FLB","B",2,1,0.424807751593978,0.085251004324729,0.0403704996111059,403.704996111059,0.0108603851651529,108.603851651529
"82","Trøndelag","hi_tydal","HIB","B",2,1,0.445355152094571,0.097973113601426,0.0400618384933471,400.618384933471,0.00914738061828697,91.4738061828697
"83","Trøndelag","selbu_kl","KLB","B",2,1,0.428951329607164,0.0816993138115565,0.116377306533433,1163.77306533433,0.0045266415216977,45.2664152169771
"84","Trøndelag","singsaas","LAB","B",2,1,0.42156687008461,0.081897508338335,0.0441109447597068,441.109447597068,-0.0104349938438201,-104.349938438201
"85","Trøndelag","malvik","MAB","B",2,1,0.427925795559905,0.0850474192213733,0.0857425746117027,857.425746117027,0.0272054955636396,272.054955636396
"86","Trøndelag","sl_tydal","SEB","B",2,1,0.423580293293867,0.0793970987818215,0.0173524438114879,173.524438114879,0.00637052474869113,63.7052474869112
