"","Region","LocalityName","Month","Years_Since_Exclosure","Delta_Biomass_kg_m2","Delta_tonC_ha","Delta_Albedo","Latitude","Longitude"
"47","Trøndelag","bratsberg",11,4,0.202946992872059,1.118552498564,-0.00694453185602101,"63.352546","10.473511"
"48","Trøndelag","bratsberg",12,4,0.202946992872059,1.118552498564,-0.00864478223510101,"63.352546","10.473511"
"49","Trøndelag","bratsberg",1,5,0.363737511829949,2.00475748332636,-0.015579147239661,"63.352546","10.473511"
"50","Trøndelag","bratsberg",2,5,0.363737511829949,2.00475748332636,-0.017746439141457,"63.352546","10.473511"
"51","Trøndelag","bratsberg",3,5,0.363737511829949,2.00475748332636,-0.017156621551645,"63.352546","10.473511"
"52","Trøndelag","bratsberg",4,5,0.363737511829949,2.00475748332636,-0.011304291941459,"63.352546","10.473511"
"53","Trøndelag","bratsberg",5,5,0.363737511829949,2.00475748332636,-0.010047604600623,"63.352546","10.473511"
"54","Trøndelag","bratsberg",6,5,0.363737511829949,2.00475748332636,-0.010046869961764,"63.352546","10.473511"
"55","Trøndelag","bratsberg",7,5,0.363737511829949,2.00475748332636,-0.010046869961914,"63.352546","10.473511"
"56","Trøndelag","bratsberg",8,5,0.363737511829949,2.00475748332636,-0.010046869961913,"63.352546","10.473511"
"57","Trøndelag","bratsberg",9,5,0.363737511829949,2.00475748332636,-0.010046869959849,"63.352546","10.473511"
"58","Trøndelag","bratsberg",10,5,0.363737511829949,2.00475748332636,-0.010083844405831,"63.352546","10.473511"
"59","Trøndelag","bratsberg",11,5,0.363737511829949,2.00475748332636,-0.010654044777244,"63.352546","10.473511"
"60","Trøndelag","bratsberg",12,5,0.363737511829949,2.00475748332636,-0.013228273217828,"63.352546","10.473511"
"61","Trøndelag","bratsberg",1,6,0.567663339234069,3.12870487735553,-0.019829688980305,"63.352546","10.473511"
"62","Trøndelag","bratsberg",2,6,0.567663339234069,3.12870487735553,-0.022352431991212,"63.352546","10.473511"
"63","Trøndelag","bratsberg",3,6,0.567663339234069,3.12870487735553,-0.021754480216678,"63.352546","10.473511"
"64","Trøndelag","bratsberg",4,6,0.567663339234069,3.12870487735553,-0.015162880544323,"63.352546","10.473511"
"65","Trøndelag","bratsberg",5,6,0.567663339234069,3.12870487735553,-0.013381825671999,"63.352546","10.473511"
"66","Trøndelag","bratsberg",6,6,0.567663339234069,3.12870487735553,-0.013380574347511,"63.352546","10.473511"
"67","Trøndelag","bratsberg",7,6,0.567663339234069,3.12870487735553,-0.013380574348116,"63.352546","10.473511"
"68","Trøndelag","bratsberg",8,6,0.567663339234069,3.12870487735553,-0.013380574348108,"63.352546","10.473511"
"69","Trøndelag","bratsberg",9,6,0.567663339234069,3.12870487735553,-0.01338057433996,"63.352546","10.473511"
"70","Trøndelag","bratsberg",10,6,0.567663339234069,3.12870487735553,-0.013443117626685,"63.352546","10.473511"
"71","Trøndelag","bratsberg",11,6,0.567663339234069,3.12870487735553,-0.014153496673626,"63.352546","10.473511"
"72","Trøndelag","bratsberg",12,6,0.567663339234069,3.12870487735553,-0.017188385067032,"63.352546","10.473511"
"73","Trøndelag","bratsberg",1,7,0.805270924123228,4.43829096185138,-0.026987030960745,"63.352546","10.473511"
"74","Trøndelag","bratsberg",2,7,0.805270924123228,4.43829096185138,-0.030379537682771,"63.352546","10.473511"
"75","Trøndelag","bratsberg",3,7,0.805270924123228,4.43829096185138,-0.029578518552179,"63.352546","10.473511"
"76","Trøndelag","bratsberg",4,7,0.805270924123228,4.43829096185138,-0.020661247921189,"63.352546","10.473511"
"77","Trøndelag","bratsberg",5,7,0.805270924123228,4.43829096185138,-0.018172150493315,"63.352546","10.473511"
"78","Trøndelag","bratsberg",6,7,0.805270924123228,4.43829096185138,-0.018170404567449,"63.352546","10.473511"
"79","Trøndelag","bratsberg",7,7,0.805270924123228,4.43829096185138,-0.018170404568084,"63.352546","10.473511"
"80","Trøndelag","bratsberg",8,7,0.805270924123228,4.43829096185138,-0.018170404568076,"63.352546","10.473511"
"81","Trøndelag","bratsberg",9,7,0.805270924123228,4.43829096185138,-0.018170404559522,"63.352546","10.473511"
"82","Trøndelag","bratsberg",10,7,0.805270924123228,4.43829096185138,-0.018257708806874,"63.352546","10.473511"
"83","Trøndelag","bratsberg",11,7,0.805270924123228,4.43829096185138,-0.019278828903709,"63.352546","10.473511"
"84","Trøndelag","bratsberg",12,7,0.805270924123228,4.43829096185138,-0.023465054997454,"63.352546","10.473511"
"85","Trøndelag","bratsberg",1,8,1.15794577738881,6.38207604936728,-0.032919845019571,"63.352546","10.473511"
"86","Trøndelag","bratsberg",2,8,1.15794577738881,6.38207604936728,-0.036823027796154,"63.352546","10.473511"
"87","Trøndelag","bratsberg",3,8,1.15794577738881,6.38207604936728,-0.035945221137106,"63.352546","10.473511"
"88","Trøndelag","bratsberg",4,8,1.15794577738881,6.38207604936728,-0.025569207891882,"63.352546","10.473511"
"89","Trøndelag","bratsberg",5,8,1.15794577738881,6.38207604936728,-0.022238761745763,"63.352546","10.473511"
"90","Trøndelag","bratsberg",6,8,1.15794577738881,6.38207604936728,-0.022236374784564,"63.352546","10.473511"
"91","Trøndelag","bratsberg",7,8,1.15794577738881,6.38207604936728,-0.022236374784768,"63.352546","10.473511"
"92","Trøndelag","bratsberg",8,8,1.15794577738881,6.38207604936728,-0.022236374784765,"63.352546","10.473511"
"93","Trøndelag","bratsberg",9,8,1.15794577738881,6.38207604936728,-0.022236374781993,"63.352546","10.473511"
"94","Trøndelag","bratsberg",10,8,1.15794577738881,6.38207604936728,-0.022355771173904,"63.352546","10.473511"
"95","Trøndelag","bratsberg",11,8,1.15794577738881,6.38207604936728,-0.023794935612463,"63.352546","10.473511"
"96","Trøndelag","bratsberg",12,8,1.15794577738881,6.38207604936728,-0.029018159166883,"63.352546","10.473511"
"97","Trøndelag","bratsberg",1,9,1.21653737854361,6.70500658871205,-0.034685702145106,"63.352546","10.473511"
"98","Trøndelag","bratsberg",2,9,1.21653737854361,6.70500658871205,-0.038753311544744,"63.352546","10.473511"
"99","Trøndelag","bratsberg",3,9,1.21653737854361,6.70500658871205,-0.037876969889242,"63.352546","10.473511"
"100","Trøndelag","bratsberg",4,9,1.21653737854361,6.70500658871205,-0.027259448932392,"63.352546","10.473511"
"101","Trøndelag","bratsberg",5,9,1.21653737854361,6.70500658871205,-0.02378453269822,"63.352546","10.473511"
"102","Trøndelag","bratsberg",6,9,1.21653737854361,6.70500658871205,-0.02378195546261,"63.352546","10.473511"
"103","Trøndelag","bratsberg",7,9,1.21653737854361,6.70500658871205,-0.023781955463306,"63.352546","10.473511"
"104","Trøndelag","bratsberg",8,9,1.21653737854361,6.70500658871205,-0.023781955463296,"63.352546","10.473511"
"105","Trøndelag","bratsberg",9,9,1.21653737854361,6.70500658871205,-0.023781955453941,"63.352546","10.473511"
"106","Trøndelag","bratsberg",10,9,1.21653737854361,6.70500658871205,-0.023910662497417,"63.352546","10.473511"
"107","Trøndelag","bratsberg",11,9,1.21653737854361,6.70500658871205,-0.025329167189065,"63.352546","10.473511"
"108","Trøndelag","bratsberg",12,9,1.21653737854361,6.70500658871205,-0.030622956634138,"63.352546","10.473511"
"109","Trøndelag","bratsberg",1,10,1.26192784111267,6.95517839268455,-0.0348577570083931,"63.352546","10.473511"
"110","Trøndelag","bratsberg",2,10,1.26192784111267,6.95517839268455,-0.038882633759072,"63.352546","10.473511"
"111","Trøndelag","bratsberg",3,10,1.26192784111267,6.95517839268455,-0.038035644940919,"63.352546","10.473511"
"112","Trøndelag","bratsberg",4,10,1.26192784111267,6.95517839268455,-0.027534520154021,"63.352546","10.473511"
"113","Trøndelag","bratsberg",5,10,1.26192784111267,6.95517839268455,-0.023963329965584,"63.352546","10.473511"
"114","Trøndelag","bratsberg",6,10,1.26192784111267,6.95517839268455,-0.023960652340364,"63.352546","10.473511"
"115","Trøndelag","bratsberg",7,10,1.26192784111267,6.95517839268455,-0.023960652341019,"63.352546","10.473511"
"116","Trøndelag","bratsberg",8,10,1.26192784111267,6.95517839268455,-0.023960652341011,"63.352546","10.473511"
"117","Trøndelag","bratsberg",9,10,1.26192784111267,6.95517839268455,-0.023960652332208,"63.352546","10.473511"
"118","Trøndelag","bratsberg",10,10,1.26192784111267,6.95517839268455,-0.024094342970172,"63.352546","10.473511"
"119","Trøndelag","bratsberg",11,10,1.26192784111267,6.95517839268455,-0.0255540809745,"63.352546","10.473511"
"120","Trøndelag","bratsberg",12,10,1.26192784111267,6.95517839268455,-0.030875803250693,"63.352546","10.473511"
"121","Trøndelag","bratsberg",1,11,1.09191210621475,6.01812816900788,-0.0310182495653989,"63.352546","10.473511"
"122","Trøndelag","bratsberg",2,11,1.09191210621475,6.01812816900788,-0.034956377328605,"63.352546","10.473511"
"123","Trøndelag","bratsberg",3,11,1.09191210621475,6.01812816900788,-0.034044231325161,"63.352546","10.473511"
"124","Trøndelag","bratsberg",4,11,1.09191210621475,6.01812816900788,-0.023774213482648,"63.352546","10.473511"
"125","Trøndelag","bratsberg",5,11,1.09191210621475,6.01812816900788,-0.020887275363387,"63.352546","10.473511"
"126","Trøndelag","bratsberg",6,11,1.09191210621475,6.01812816900788,-0.020885193562884,"63.352546","10.473511"
"127","Trøndelag","bratsberg",7,11,1.09191210621475,6.01812816900788,-0.020885193563973,"63.352546","10.473511"
"128","Trøndelag","bratsberg",8,11,1.09191210621475,6.01812816900788,-0.02088519356396,"63.352546","10.473511"
"129","Trøndelag","bratsberg",9,11,1.09191210621475,6.01812816900788,-0.020885193549311,"63.352546","10.473511"
"130","Trøndelag","bratsberg",10,11,1.09191210621475,6.01812816900788,-0.020989147051434,"63.352546","10.473511"
"131","Trøndelag","bratsberg",11,11,1.09191210621475,6.01812816900788,-0.022118833842345,"63.352546","10.473511"
"132","Trøndelag","bratsberg",12,11,1.09191210621475,6.01812816900788,-0.026895270657063,"63.352546","10.473511"
"133","Hedmark","didrik_holmsen",1,3,-0.0803447241040553,-0.442823964135708,-0.00716165430716903,"59.852391","11.427864"
"134","Hedmark","didrik_holmsen",2,3,-0.0803447241040553,-0.442823964135708,-0.021027185033825,"59.852391","11.427864"
"135","Hedmark","didrik_holmsen",3,3,-0.0803447241040553,-0.442823964135708,-0.018075453828017,"59.852391","11.427864"
"136","Hedmark","didrik_holmsen",4,3,-0.0803447241040553,-0.442823964135708,1.02197538579818e-05,"59.852391","11.427864"
"137","Hedmark","didrik_holmsen",5,3,-0.0803447241040553,-0.442823964135708,-0.002411875297859,"59.852391","11.427864"
"138","Hedmark","didrik_holmsen",6,3,-0.0803447241040553,-0.442823964135708,-0.002411875282499,"59.852391","11.427864"
"139","Hedmark","didrik_holmsen",7,3,-0.0803447241040553,-0.442823964135708,-0.00241187528249101,"59.852391","11.427864"
"140","Hedmark","didrik_holmsen",8,3,-0.0803447241040553,-0.442823964135708,-0.00241187528249401,"59.852391","11.427864"
"141","Hedmark","didrik_holmsen",9,3,-0.0803447241040553,-0.442823964135708,-0.002411875288234,"59.852391","11.427864"
"142","Hedmark","didrik_holmsen",10,3,-0.0803447241040553,-0.442823964135708,-0.00235253334291902,"59.852391","11.427864"
"143","Hedmark","didrik_holmsen",11,3,-0.0803447241040553,-0.442823964135708,-0.00195965120306299,"59.852391","11.427864"
"144","Hedmark","didrik_holmsen",12,3,-0.0803447241040553,-0.442823964135708,-0.00661597778837097,"59.852391","11.427864"
"145","Hedmark","didrik_holmsen",1,4,0.001833322898632,0.0101044508219548,-0.010107947203239,"59.852391","11.427864"
"146","Hedmark","didrik_holmsen",2,4,0.001833322898632,0.0101044508219548,-0.022441180403242,"59.852391","11.427864"
"147","Hedmark","didrik_holmsen",3,4,0.001833322898632,0.0101044508219548,-0.019896009224787,"59.852391","11.427864"
"148","Hedmark","didrik_holmsen",4,4,0.001833322898632,0.0101044508219548,-0.00298532388883599,"59.852391","11.427864"
"149","Hedmark","didrik_holmsen",5,4,0.001833322898632,0.0101044508219548,-0.004171064569334,"59.852391","11.427864"
"150","Hedmark","didrik_holmsen",6,4,0.001833322898632,0.0101044508219548,-0.00417106454899699,"59.852391","11.427864"
"151","Hedmark","didrik_holmsen",7,4,0.001833322898632,0.0101044508219548,-0.004171064548986,"59.852391","11.427864"
"152","Hedmark","didrik_holmsen",8,4,0.001833322898632,0.0101044508219548,-0.00417106454899099,"59.852391","11.427864"
"153","Hedmark","didrik_holmsen",9,4,0.001833322898632,0.0101044508219548,-0.00417106455656199,"59.852391","11.427864"
"154","Hedmark","didrik_holmsen",10,4,0.001833322898632,0.0101044508219548,-0.00413254940664701,"59.852391","11.427864"
"155","Hedmark","didrik_holmsen",11,4,0.001833322898632,0.0101044508219548,-0.004078507205694,"59.852391","11.427864"
"156","Hedmark","didrik_holmsen",12,4,0.001833322898632,0.0101044508219548,-0.008872022184432,"59.852391","11.427864"
"157","Hedmark","didrik_holmsen",1,5,-0.014306352686636,-0.0788501781500284,-0.012822277826586,"59.852391","11.427864"
"158","Hedmark","didrik_holmsen",2,5,-0.014306352686636,-0.0788501781500284,-0.02634349916041,"59.852391","11.427864"
"159","Hedmark","didrik_holmsen",3,5,-0.014306352686636,-0.0788501781500284,-0.023654976909094,"59.852391","11.427864"
"160","Hedmark","didrik_holmsen",4,5,-0.014306352686636,-0.0788501781500284,-0.00465830336276601,"59.852391","11.427864"
"161","Hedmark","didrik_holmsen",5,5,-0.014306352686636,-0.0788501781500284,-0.005157513605898,"59.852391","11.427864"
"162","Hedmark","didrik_holmsen",6,5,-0.014306352686636,-0.0788501781500284,-0.00515751358411398,"59.852391","11.427864"
