LocalityName,Years_Since_Exclosure,Delta_C,Delta_A,RF_Delta_C,RF_Delta_A,Net_RF,C_Eq_Delta_C,C_Eq_Delta_A,Net_C_Eq
fet_3,2,-0.37603257,0.013045689,2.41E-16,-1.80E-15,-1.56E-15,0.137878609,-1.0271823,-0.889303691
fet_3,3,-0.214467029,0.012252376,1.38E-16,-1.66E-15,-1.53E-15,0.07863791,-0.951113829,-0.872475918
fet_3,4,-0.473129793,0.015400852,3.04E-16,-2.14E-15,-1.84E-15,0.173480924,-1.225441671,-1.051960747
fet_3,5,-0.749115904,0.013836284,4.81E-16,-1.98E-15,-1.49E-15,0.274675831,-1.128720527,-0.854044696
fet_3,6,-1.7889854,0.017552769,1.15E-15,-2.59E-15,-1.44E-15,0.655961313,-1.481388153,-0.82542684
fet_3,7,-2.388219103,0.016050219,1.53E-15,-2.37E-15,-8.34E-16,0.875680338,-1.352515814,-0.476835476
fritsoe1,1,0.661110538,0.009772962,-4.24E-16,-1.02E-15,-1.44E-15,-0.242407197,-0.58179403,-0.824201227
fritsoe1,2,1.136810885,0.006419084,-7.29E-16,-5.40E-16,-1.27E-15,-0.416830658,-0.308693101,-0.725523758
fritsoe1,3,1.975212556,0.004006749,-1.27E-15,-4.09E-17,-1.31E-15,-0.724244604,-0.023366557,-0.747611161
fritsoe1,4,2.766852928,0.001921745,-1.78E-15,2.32E-16,-1.54E-15,-1.01451274,0.132645042,-0.881867698
fritsoe1,5,3.295434623,-0.000391714,-2.11E-15,5.89E-16,-1.53E-15,-1.208326028,0.336651384,-0.871674645
fritsoe1,6,4.154452868,-0.001664791,-2.67E-15,8.55E-16,-1.81E-15,-1.523299385,0.488817411,-1.034481974
fritsoe1,7,4.640591906,-0.003882771,-2.98E-15,1.18E-15,-1.80E-15,-1.701550366,0.67546522,-1.026085146
fritsoe1,8,5.458814788,-0.003172347,-3.50E-15,1.15E-15,-2.35E-15,-2.001565422,0.65730866,-1.344256762
fritsoe1,9,6.055324645,-0.003535972,-3.89E-15,1.24E-15,-2.64E-15,-2.220285703,0.71085441,-1.509431294
fritsoe2,1,-0.121633593,0.009220849,7.80E-17,-1.21E-15,-1.14E-15,0.044598984,-0.694217524,-0.64961854
fritsoe2,2,0.067947153,0.008850472,-4.36E-17,-1.16E-15,-1.20E-15,-0.024913956,-0.66195937,-0.686873326
fritsoe2,3,0.407760494,0.005374177,-2.62E-16,-6.42E-16,-9.04E-16,-0.149512181,-0.367123864,-0.516636045
fritsoe2,4,0.846557329,0.00273477,-5.43E-16,-1.91E-16,-7.34E-16,-0.310404354,-0.108861784,-0.419266138
fritsoe2,5,1.277577839,0.001195113,-8.20E-16,5.04E-17,-7.69E-16,-0.468445208,0.028794518,-0.43965069
fritsoe2,6,1.340213216,0.001502667,-8.60E-16,7.24E-18,-8.53E-16,-0.491411512,0.004138233,-0.487273279
