"","Region","Month","Temperature_K","Temperature_SE","SWE_mm","SWE_SE"
"1","Trøndelag",1,268.978154121864,0.0762786318569441,66.0668100358423,0.760912545436976
"2","Trøndelag",2,269.847010816126,0.0741445005893223,92.7345132743363,1.04596410960529
"3","Trøndelag",3,271.926362007168,0.0588422984999547,105.718924731183,1.2754726536543
"4","Trøndelag",4,276.130833333333,0.0446252340974362,47.1926111111111,1.0707911050035
"5","Trøndelag",5,281.000609318996,0.0572854779820566,1.85478494623656,0.204180569597322
"6","Trøndelag",6,284.049740740741,0.0507785420569618,0,0
"7","Trøndelag",7,287.490788530466,0.0522738396841145,0,0
"8","Trøndelag",8,286.275268817204,0.0407711696622852,0,0
"9","Trøndelag",9,282.806018518518,0.041012054141779,0,0
"10","Trøndelag",10,277.42835125448,0.0461764435348121,0.996218637992832,0.0705596615884145
"11","Trøndelag",11,273.071222222222,0.0676801267732749,6.85631481481481,0.20172393027782
"12","Trøndelag",12,270.023154121864,0.075627200468256,34.7563620071685,0.490932671832972
"13","Hedmark",1,268.119018817204,0.107275301768152,33.7159946236559,0.508362800383684
"14","Hedmark",2,269.188790560472,0.0990955981314603,57.6145280235988,0.884172382727998
"15","Hedmark",3,272.684005376344,0.0774418889624318,58.2628696236559,1.13527088696733
"16","Hedmark",4,277.718611111111,0.0647104877786228,14.208125,0.70850331765985
"17","Hedmark",5,283.184038978495,0.0795239616618195,0.00510752688172043,0.00387266786957669
"18","Hedmark",6,286.917013888889,0.0572465569085552,0,0
"19","Hedmark",7,289.422143817204,0.0551636556623303,0,0
"20","Hedmark",8,287.452318548387,0.0410161297190314,0,0
"21","Hedmark",9,283.724444444444,0.053437492261365,0,0
"22","Hedmark",10,278.234744623656,0.0656092618987251,0.162096774193548,0.0252705709678267
"23","Hedmark",11,274.266319444444,0.0805297266813896,2.67565972222222,0.112705031533258
"24","Hedmark",12,269.696606182796,0.10988770570907,17.3202620967742,0.275934120831378
"25","Telemark",1,268.481528417819,0.0682818174271752,97.6891321044547,0.923442191823946
"26","Telemark",2,269.267003792667,0.0741934619677234,158.608997050147,1.34380879928203
"27","Telemark",3,272.623732718894,0.0614303460401457,158.57089093702,1.66329395478219
"28","Telemark",4,276.990515873016,0.0490940355239991,71.6713095238095,1.6301385712488
"29","Telemark",5,282.108928571429,0.0593241329052052,3.68953533026114,0.33542335865217
"30","Telemark",6,286.080952380952,0.0453573859609019,0,0
"31","Telemark",7,288.500076804915,0.0434740598907497,0,0
"32","Telemark",8,286.412749615975,0.0313994098241381,0,0
"33","Telemark",9,283.070873015873,0.0381219879215173,0,0
"34","Telemark",10,277.609427803379,0.0472139619939745,0.667069892473118,0.0431089358853803
"35","Telemark",11,273.3325,0.0570038452108141,14.2135119047619,0.364811453323104
"36","Telemark",12,269.482219662058,0.0753902831121825,49.2597158218126,0.678697014055364
