"","Region","Month","Temperature_K","Temperature_SE","SWE_mm","SWE_SE"
"1","Trøndelag",1,269.102886683209,0.0722193696734874,62.7688668320926,0.724120137400495
"2","Trøndelag",2,269.63719346049,0.0732239299682933,92.5122615803815,0.972796084748486
"3","Trøndelag",3,272.146526054591,0.0556773951432483,101.154160463193,1.20491706892728
"4","Trøndelag",4,276.153811965812,0.0433269999189529,44.0990085470085,0.999329180629957
"5","Trøndelag",5,280.939561621175,0.0540762113915811,1.71210918114144,0.188580262647818
"6","Trøndelag",6,284.213811965812,0.049577443871427,0,0
"7","Trøndelag",7,287.533076923077,0.0491816229162538,0,0
"8","Trøndelag",8,286.266658395368,0.0403169119436951,0,0
"9","Trøndelag",9,282.618837606838,0.0398896342557223,0,0
"10","Trøndelag",10,277.472580645161,0.043798375959561,0.949230769230769,0.0654868987155161
"11","Trøndelag",11,273.029641025641,0.063075973385921,9.02463247863248,0.243630267515216
"12","Trøndelag",12,270.146774193548,0.0713264960587549,38.1182795698925,0.4973720284515
"13","Hedmark",1,268.049550248139,0.0732499806219257,35.0180986352357,0.372561692457247
"14","Hedmark",2,268.913777247956,0.0670792029633187,61.4363079019074,0.588591018813477
"15","Hedmark",3,272.768393300248,0.0521727441324087,59.4152140198511,0.757456808307049
"16","Hedmark",4,277.669391025641,0.0443559146054617,14.6391987179487,0.496347107488037
"17","Hedmark",5,283.016361662531,0.0525603371898331,0.01412841191067,0.00488795996719896
"18","Hedmark",6,286.949182692308,0.0405480531379955,0,0
"19","Hedmark",7,289.226333746898,0.037244336055853,0,0
"20","Hedmark",8,287.394199751861,0.0293987385212863,0,0
"21","Hedmark",9,283.505528846154,0.03613960039397,0,0
"22","Hedmark",10,278.132645781638,0.0437695205774043,0.165973945409429,0.0176356456825799
"23","Hedmark",11,273.994182692308,0.0533279914927871,3.09777243589744,0.0859530112949319
"24","Hedmark",12,269.52385235732,0.0750063410460196,18.5751240694789,0.218884263987558
"25","Telemark",1,268.566284119107,0.0618742682246406,92.4015198511166,0.816131630835019
"26","Telemark",2,269.155279291553,0.0665272839657077,149.487278610354,1.20050890630095
"27","Telemark",3,272.802419354839,0.0542693742534204,150.368083126551,1.443735166169
"28","Telemark",4,277.108108974359,0.044390061044788,64.1708333333333,1.37976256514047
"29","Telemark",5,282.072565136476,0.0518629321238701,2.98289392059553,0.271519119828007
"30","Telemark",6,286.208621794872,0.0414299819661187,0,0
"31","Telemark",7,288.341237593052,0.0384191765435131,0,0
"32","Telemark",8,286.435018610422,0.028946118144209,0,0
"33","Telemark",9,282.949679487179,0.0345308573745336,0,0
"34","Telemark",10,277.613818238213,0.0419586947934504,0.611011166253102,0.0369748232776092
"35","Telemark",11,273.221426282051,0.0502549269393151,13.5547596153846,0.316860952027462
"36","Telemark",12,269.303148263027,0.0679536792591808,51.4825682382134,0.597641092734867
