"","LocalityName","LocalityCode","Plot","Year","Prop_spruce","Prop_pine","Prop_birch"
"80","steinkjer_1BBb","1BBUB","ØV",2017,0.0285714285714286,0,0.971428571428571
"81","steinkjer_1BBb","1BBUB","NH",2018,0.103448275862069,0,0.896551724137931
"82","steinkjer_1BBb","1BBUB","NV",2018,0.105263157894737,0,0.894736842105263
"83","steinkjer_1BBb","1BBUB","ØH",2018,0.111111111111111,0,0.888888888888889
"84","steinkjer_1BBb","1BBUB","ØV",2018,0.032258064516129,0,0.967741935483871
"85","steinkjer_1BBb","1BBUB","NH",2019,0.0625,0,0.9375
"86","steinkjer_1BBb","1BBUB","NV",2019,0.0666666666666667,0,0.933333333333333
"87","steinkjer_1BBb","1BBUB","ØH",2019,0.166666666666667,0,0.833333333333333
"88","steinkjer_1BBb","1BBUB","ØV",2019,0.032258064516129,0,0.967741935483871
"89","Nome_Cappelen1","1CAB","NH",2010,0.235294117647059,0.411764705882353,0.352941176470588
"90","Nome_Cappelen1","1CAB","NV",2010,0.2,0.7,0.1
"91","Nome_Cappelen1","1CAB","ØH",2010,0.5,0.25,0.25
"92","Nome_Cappelen1","1CAB","ØV",2010,0.333333333333333,0.5,0.166666666666667
"93","Nome_Cappelen1","1CAB","NH",2011,0.181818181818182,0.5,0.318181818181818
"94","Nome_Cappelen1","1CAB","NV",2011,0.1,0.8,0.1
"95","Nome_Cappelen1","1CAB","ØH",2011,0.444444444444444,0.111111111111111,0.444444444444444
"96","Nome_Cappelen1","1CAB","ØV",2011,0.285714285714286,0.428571428571429,0.285714285714286
"97","Nome_Cappelen1","1CAB","NH",2012,0.208333333333333,0.541666666666667,0.25
"98","Nome_Cappelen1","1CAB","NV",2012,0.0625,0.875,0.0625
"99","Nome_Cappelen1","1CAB","ØH",2012,0.222222222222222,0.222222222222222,0.555555555555556
"100","Nome_Cappelen1","1CAB","ØV",2012,0.285714285714286,0.428571428571429,0.285714285714286
"101","Nome_Cappelen1","1CAB","NH",2013,0.208333333333333,0.541666666666667,0.25
"102","Nome_Cappelen1","1CAB","NV",2013,0.103448275862069,0.862068965517241,0.0344827586206897
"103","Nome_Cappelen1","1CAB","ØH",2013,0.272727272727273,0.0909090909090909,0.636363636363636
"104","Nome_Cappelen1","1CAB","ØV",2013,0.166666666666667,0.5,0.333333333333333
"105","Nome_Cappelen1","1CAB","NH",2014,0.263157894736842,0.473684210526316,0.263157894736842
"106","Nome_Cappelen1","1CAB","NV",2014,0.0357142857142857,0.964285714285714,0
"107","Nome_Cappelen1","1CAB","ØH",2014,0.142857142857143,0.214285714285714,0.642857142857143
