"","LocalityName","LocalityCode","Plot","Year","Prop_spruce","Prop_pine","Prop_birch","Prop_decid"
"66","steinkjer_1BBb","1BBUB","NV",2014,0.133333333333333,0,0.533333333333333,0.333333333333333
"67","steinkjer_1BBb","1BBUB","ØH",2014,0.142857142857143,0,0,0.857142857142857
"68","steinkjer_1BBb","1BBUB","ØV",2014,0,0,0.161290322580645,0.838709677419355
"69","steinkjer_1BBb","1BBUB","NH",2015,0.15,0,0.1,0.75
"70","steinkjer_1BBb","1BBUB","NV",2015,0.125,0,0.5625,0.3125
"71","steinkjer_1BBb","1BBUB","ØH",2015,0.125,0,0,0.875
"72","steinkjer_1BBb","1BBUB","ØV",2015,0,0,0.166666666666667,0.833333333333333
"73","steinkjer_1BBb","1BBUB","NH",2016,0.1,0,0.0666666666666667,0.833333333333333
"74","steinkjer_1BBb","1BBUB","NV",2016,0.125,0,0.4375,0.4375
"75","steinkjer_1BBb","1BBUB","ØH",2016,0.1,0,0,0.9
"76","steinkjer_1BBb","1BBUB","ØV",2016,0,0,0.161290322580645,0.838709677419355
"77","steinkjer_1BBb","1BBUB","NH",2017,0.103448275862069,0,0.0689655172413793,0.827586206896552
"78","steinkjer_1BBb","1BBUB","NV",2017,0.105263157894737,0,0.421052631578947,0.473684210526316
"79","steinkjer_1BBb","1BBUB","ØH",2017,0.111111111111111,0,0.111111111111111,0.777777777777778
"80","steinkjer_1BBb","1BBUB","ØV",2017,0.0285714285714286,0,0.114285714285714,0.857142857142857
"81","steinkjer_1BBb","1BBUB","NH",2018,0.103448275862069,0,0.103448275862069,0.793103448275862
"82","steinkjer_1BBb","1BBUB","NV",2018,0.105263157894737,0,0.473684210526316,0.421052631578947
"83","steinkjer_1BBb","1BBUB","ØH",2018,0.111111111111111,0,0.111111111111111,0.777777777777778
"84","steinkjer_1BBb","1BBUB","ØV",2018,0.032258064516129,0,0.129032258064516,0.838709677419355
"85","steinkjer_1BBb","1BBUB","NH",2019,0.0625,0,0.09375,0.84375
"86","steinkjer_1BBb","1BBUB","NV",2019,0.0666666666666667,0,0.333333333333333,0.6
"87","steinkjer_1BBb","1BBUB","ØH",2019,0.166666666666667,0,0.0833333333333333,0.75
"88","steinkjer_1BBb","1BBUB","ØV",2019,0.032258064516129,0,0.129032258064516,0.838709677419355
"89","Nome_Cappelen1","1CAB","NH",2010,0.235294117647059,0.411764705882353,0,0.352941176470588
"90","Nome_Cappelen1","1CAB","NV",2010,0.2,0.7,0.1,0
"91","Nome_Cappelen1","1CAB","ØH",2010,0.5,0.25,0.25,0
"92","Nome_Cappelen1","1CAB","ØV",2010,0.333333333333333,0.5,0,0.166666666666667
"93","Nome_Cappelen1","1CAB","NH",2011,0.181818181818182,0.5,0,0.318181818181818
"94","Nome_Cappelen1","1CAB","NV",2011,0.1,0.8,0.1,0
"95","Nome_Cappelen1","1CAB","ØH",2011,0.444444444444444,0.111111111111111,0.444444444444444,0
"96","Nome_Cappelen1","1CAB","ØV",2011,0.285714285714286,0.428571428571429,0.142857142857143,0.142857142857143
"97","Nome_Cappelen1","1CAB","NH",2012,0.208333333333333,0.541666666666667,0,0.25
"98","Nome_Cappelen1","1CAB","NV",2012,0.0625,0.875,0.0625,0
"99","Nome_Cappelen1","1CAB","ØH",2012,0.222222222222222,0.222222222222222,0.555555555555556,0
"100","Nome_Cappelen1","1CAB","ØV",2012,0.285714285714286,0.428571428571429,0.142857142857143,0.142857142857143
"101","Nome_Cappelen1","1CAB","NH",2013,0.208333333333333,0.541666666666667,0,0.25
"102","Nome_Cappelen1","1CAB","NV",2013,0.103448275862069,0.862068965517241,0.0344827586206897,0
"103","Nome_Cappelen1","1CAB","ØH",2013,0.272727272727273,0.0909090909090909,0.454545454545455,0.181818181818182
"104","Nome_Cappelen1","1CAB","ØV",2013,0.166666666666667,0.5,0.166666666666667,0.166666666666667
"105","Nome_Cappelen1","1CAB","NH",2014,0.263157894736842,0.473684210526316,0,0.263157894736842
"106","Nome_Cappelen1","1CAB","NV",2014,0.0357142857142857,0.964285714285714,0,0
"107","Nome_Cappelen1","1CAB","ØH",2014,0.142857142857143,0.214285714285714,0.5,0.142857142857143
"108","Nome_Cappelen1","1CAB","ØV",2014,0.142857142857143,0.571428571428571,0.142857142857143,0.142857142857143
"109","Nome_Cappelen1","1CAB","NH",2015,0.0869565217391304,0.652173913043478,0,0.260869565217391
"110","Nome_Cappelen1","1CAB","NV",2015,0.0294117647058824,0.970588235294118,0,0
"111","Nome_Cappelen1","1CAB","ØH",2015,0.153846153846154,0.230769230769231,0.461538461538462,0.153846153846154
"112","Nome_Cappelen1","1CAB","ØV",2015,0.142857142857143,0.571428571428571,0.142857142857143,0.142857142857143
"113","Nome_Cappelen1","1CAB","NH",2016,0.166666666666667,0.583333333333333,0,0.25
"114","Nome_Cappelen1","1CAB","NV",2016,0.0303030303030303,0.96969696969697,0,0
"115","Nome_Cappelen1","1CAB","ØH",2016,0.142857142857143,0.214285714285714,0.428571428571429,0.214285714285714
"116","Nome_Cappelen1","1CAB","ØV",2016,0.142857142857143,0.571428571428571,0.142857142857143,0.142857142857143
"117","Nome_Cappelen1","1CAB","NV",2017,0.0540540540540541,0.945945945945946,0,0
"118","Nome_Cappelen1","1CAB","ØH",2017,0.125,0.3125,0.375,0.1875
"119","Nome_Cappelen1","1CAB","ØV",2017,0.25,0.5,0.125,0.125
"120","Nome_Cappelen1","1CAB","NH",2018,0.181818181818182,0.545454545454545,0,0.272727272727273
"121","Nome_Cappelen1","1CAB","NV",2018,0.0571428571428571,0.942857142857143,0,0
"122","Nome_Cappelen1","1CAB","ØH",2018,0.111111111111111,0.388888888888889,0.333333333333333,0.166666666666667
"123","Nome_Cappelen1","1CAB","ØV",2018,0.25,0.5,0.125,0.125
"124","Nome_Cappelen1","1CAUB","NH",2010,0.666666666666667,0,0,0.333333333333333
"125","Nome_Cappelen1","1CAUB","NV",2010,0.222222222222222,0.777777777777778,0,0
"126","Nome_Cappelen1","1CAUB","ØH",2010,0.2,0.6,0.2,0
"127","Nome_Cappelen1","1CAUB","ØV",2010,0.125,0.875,0,0
"128","Nome_Cappelen1","1CAUB","NH",2011,0,0,0,1
"129","Nome_Cappelen1","1CAUB","NV",2011,0.1,0.9,0,0
"130","Nome_Cappelen1","1CAUB","ØH",2011,0.2,0.6,0.2,0
"131","Nome_Cappelen1","1CAUB","ØV",2011,0.125,0.875,0,0
"132","Nome_Cappelen1","1CAUB","NH",2012,0.75,0,0,0.25
"133","Nome_Cappelen1","1CAUB","NV",2012,0.0588235294117647,0.941176470588235,0,0
"134","Nome_Cappelen1","1CAUB","ØH",2012,0.555555555555556,0.333333333333333,0.111111111111111,0
"135","Nome_Cappelen1","1CAUB","ØV",2012,0.05,0.95,0,0
"136","Nome_Cappelen1","1CAUB","NH",2013,0.5,0.25,0,0.25
