LocalityName,LocalityCode,ExperimentID,Region,DistrictID,Treatment,Longitude,Latitude,Clear.cut,Year.initiated,LiDAR.data.from.year,Point.density...m.2.,Resolution..m.,Mean,Median,SD,Min,Max,X1st.Qu.,X3rd.Qu.,IQR,ClearCutToLidar,CV,IQR_med,MAD,MAD_med,productivity,diff_median_ex_op
Bratsberg,BRB,{5008C498-58CA-4083-AEC2-EE4EEB7277C1},Trondelag,1601,Open plot,10473511,63352546,2002,2008,2017,5,0.25,0.427393586708792,0.158999994397163,0.756958162232699,-0.0430000014603138,5.06400012969971,0.104000002145767,0.280000001192093,0.175999999046326,15,1.77110323077557,1.10691827200131,0.0963689964652061,0.606094338748767,0.196448579540101,
Bratsberg,BRUB,{3CE45121-C8C0-4908-987F-2A1EB936498E},Trondelag,1601,Exclosure,10472432,63352243,2002,2008,2017,5,0.25,2.13904225370522,2.30850005149841,1.21724242163367,-0.293000012636185,6.26700019836426,1.48924997448921,2.90200006961823,1.41275009512902,15,0.569059549677048,0.611977502106628,1.03040707776546,0.446353500012547,0.196448579540101,
Didrik Holmsen,DHB,{34F34035-183F-4824-A89B-D585F86C1CD3},Hedmark,221,Open plot,11427864,59852391,2008,2010,2018,5,0.25,0.649048275698576,0.233999997377396,0.754397991269342,-0.00800000037997961,3.62599992752075,0.149500004947186,0.991499990224838,0.841999985277652,10,1.16231414444076,3.59829057570318,0.18235979399085,0.779315367669597,0.234215068001819,
Didrik Holmsen,DHUB,{6CBCEABA-5AC6-4E56-9AA0-070764F333D4},Hedmark,221,Exclosure,11427313,59850922,2008,2010,2018,5,0.25,1.37802746100245,1.37800002098083,0.993124624204637,-0.00800000037997961,4.73000001907349,0.354000002145767,2.03299999237061,1.67899999022484,10,0.720685655627055,1.21843248524029,1.20980157737732,0.877940173408858,0.234215068001819,
Drangedal1,1DRB,{89274CF3-A2AB-493F-B1A7-85568BEA0856},Telemark,817,Open plot,9146759,59129363,2005,2009,2017,2,0.5,0.724767388548418,0.36599999666214,0.733789546035406,-0.0710000023245811,4.13500022888184,0.152999997138977,1.2150000333786,1.06200003623962,12,1.01244834912489,2.90163946974013,0.437366991604865,1.19499179123929,0.211316769544198,
Drangedal1,1DRUB,{60E7D4D8-86FE-4751-A9B4-1E8270B36310},Telemark,817,Exclosure,9147015,5912789,2005,2009,2017,2,0.5,0.89349748748536,0.766999989748001,0.763256688596589,-0.0320000015199184,2.97000002861023,0.150000002235174,1.51875004172325,1.36875003948808,12,0.854234845969945,1.78455027090389,0.9822224856399,1.2806029970908,0.211316769544198,
Drangedal3,3DRB,{BCCE747C-640D-43AB-851D-356BB2A3A7CC},Telemark,817,Open plot,8834496,59056436,2007,2009,2016,2,0.5,0.0915438149867882,0.0469999983906746,0.221326635235972,-0.0740000009536743,2.45600008964539,0.0179999992251396,0.0905000027269125,0.0725000035017729,9,2.41771260317165,1.54255331881368,0.0518909974593669,1.10406381353542,NA,
Drangedal3,3DRUB,{3B0971EB-C941-4DF0-84F2-2ECC71B0BFE7},Telemark,817,Exclosure,8833796,59056992,2007,2009,2016,2,0.5,0.261183675780075,0.0549999997019768,0.660114773731643,-0.0659999996423721,4.61700010299683,0.0240000002086163,0.133000001311302,0.109000001102686,9,2.52739675157754,1.9818182126057,0.0593040000552311,1.07825455230138,NA,
Drangedal4,4DRB,{91B5699A-9A5B-490F-B59B-330ABB953204},Telemark,817,Open plot,8822521,59022177,2007,2009,2016,2,0.5,0.949242132564795,0.828999996185303,0.875525207031252,-0.0740000009536743,5.39300012588501,0.48199999332428,1.05499994754791,0.57299995422363,9,0.922341283636068,0.691194157853228,0.375097831106186,0.452470244670956,0.205027981060011,
Drangedal4,4DRUB,{C88B0D7B-54A5-4CA2-8515-F474DA756009},Telemark,817,Exclosure,8822454,59021728,2007,2009,2016,2,0.5,2.34772389858373,2.41199994087219,0.772877860006278,0.0320000015199184,4.67399978637695,1.77399998903275,2.92750000953674,1.15350002050399,9,0.329203046607192,0.478233851070029,0.834703746271133,0.346062921531126,0.205027981060011,
Eidskog,STSKNB,{14734948-AF40-4074-9724-0EEE3F76AC41},Hedmark,236,Open plot,11702825,6004316,2009,2011,2016,2,0.5,0.491529413281434,0.230000004172325,0.629511657290597,-0.0740000009536743,3.41300010681152,0.0989999994635582,0.568000018596649,0.469000019133091,7,1.28072021791737,2.03913048097902,0.234250810781121,1.01848176752906,NA,
Eidskog,STSKNUB,{3B0E478D-8FE4-4AF9-B94B-24F8AD7E2CC8},Hedmark,236,Exclosure,11703475,60043477,2009,2011,2016,2,0.5,0.39879729651997,0.175999999046326,0.592026181395198,-0.0860000029206276,3.31299996376038,0.0972500015050173,0.353749990463257,0.25649998895824,7,1.48452907419735,1.45738630879609,0.147518700706959,0.838174440376728,NA,
Fet 3,FKB,{34076428-DBE8-4640-87BB-7304F3782B8D},Hedmark,227,Open plot,11262528,5982754,2009,2011,2016,5,0.25,0.563066667074273,0.537000000476837,0.257483277386139,-0.0719999969005585,1.99399995803833,0.407000005245209,0.672499984502792,0.265499979257583,7,0.457287373667557,0.494413368755733,0.198668404948711,0.369959785423278,NA,
Fet 3,FKUB,{ABD40618-B381-4973-84CB-072C9B2E0FB8},Hedmark,227,Exclosure,11260981,59828745,2009,2011,2016,5,0.25,1.24319727871305,1.09300005435944,0.772436683318376,-0.109999999403954,6.61800003051758,0.684000015258789,1.65299999713898,0.968999981880191,7,0.621330738527676,0.886550717006213,0.681996056556702,0.623967083840989,NA,
Fritsoe1,1FRB,{6D6A5302-BEF1-4207-99AF-70D46B036A98},Telemark,604,Open plot,9739193,59416329,2009,2009,2017,2,0.5,0.86256351190303,0.28999999165535,0.987658366678286,-0.0469999983906746,4.16499996185303,0.116999998688698,1.50699996948242,1.38999997079372,8,1.14502683344356,4.79310348548446,0.355823986523598,1.22697929918038,0.245537882619449,
Fritsoe1,1FRUB,{509F49A6-7A67-4F86-860C-C99CA5E73473},Telemark,604,Exclosure,9738498,59415974,2009,2009,2017,2,0.5,1.4471953509213,1.48949998617172,0.902512956226435,-0.061999998986721,4.80600023269653,0.842500001192093,1.99500000476837,1.15250000357628,8,0.62362897700845,0.773749589980465,0.797638781619072,0.535507746911194,0.245537882619449,
Fritsoe2,2FRB,{DD38A6C0-256F-4B6F-87C4-630837EB525D},Telemark,728,Open plot,9823752,59367768,2005,2009,2017,2,0.5,0.854038740012436,0.296000003814697,1.2879171693095,-0.24099999666214,7.24200010299683,0.0879999995231628,1.15499997138977,1.06699997186661,12,1.50803132102736,3.60472958822857,0.37361520600915,1.26221351754793,0.148195815507045,
Fritsoe2,2FRUB,{935BC523-6BFE-4F42-B2B8-2183C5CA614F},Telemark,728,Exclosure,9823527,59367231,2005,2009,2017,2,0.5,1.47146511385675,1.56299996376038,1.08134329418045,-0.156000003218651,6.2519998550415,0.395999997854233,2.13699996471405,1.74099996685982,12,0.734875250522399,1.11388356188518,1.02299408483505,0.654506787302705,0.148195815507045,
