ExperimentID,Region,DistrictID,LocalityCode,LocalityName,Treatment,Longitude,Latitude,Clear cut,Year initiated
{4AD82623-A17A-4FDA-A448-D2C5F4BE2E20},Hedmark,236,DDB,Nes 1,B,11.488864,60.081806,2008/9,2011
{A1DD1C98-50D7-429F-BA22-F17C64948FAE},Hedmark,236,DDUB,Nes 1,UB,11.489434,60.082406,2008/9,2011
{612BC516-8210-410E-AFFF-4BDDFCE39093},Hedmark,236,OLB,Nes 2,B,11.62658,60.088723,2008/9,2011
{1100CE3A-0101-45E3-9820-EF18DBEE3226},Hedmark,236,OLUB,Nes 2,UB,11.625671,60.088665,2008/9,2011
{43B7107D-EACD-413F-96EB-17F85613752C},Hedmark,402,IAAB,Kongsvinger 1,B,11.941436,60.194141,2008/9,2011
{F8313010-6EC6-4297-B477-506B947782F0},Hedmark,402,IAAUB,Kongsvinger 1,UB,11.940475,60.194646,2008/9,2011
{6A93A1F1-B211-4768-9DF5-839B8F19F814},Hedmark,402,JCDB,Kongsvinger 2,B,11.972881,60.123316,2008/9,2011
{AF1A2842-B4A1-4940-B289-A77B1363CDF5},Hedmark,402,JCDUB,Kongsvinger 2,UB,11.972682,60.122872,2008/9,2011
{60431DE4-CE0E-4A8D-A676-6757D614A23C},Hedmark,419,M1B,Maarud 1,B,11.592398,60.169248,2004/5,2007
{DA910445-5682-4E4F-9C1B-2579A3C8A818},Hedmark,419,M1UB,Maarud 1,UB,11.593097,60.169193,2004/5,2007
{07906680-9BC3-4636-9A4E-218F993704C2},Hedmark,419,M2B,Maarud 2,B,11.753235,60.124845,2004/5,2007
{D99732B1-A03B-4D20-94FF-EBE75B72607A},Hedmark,419,M2UB,Maarud 2,UB,11.752689,60.124453,2004/5,2007
{DC678F2D-6A6B-45D8-B027-4B8BC2277B7F},Hedmark,419,M3B,Maarud 3,B,11.825264,60.109828,2004/5,2007
{6A46437A-D098-460A-9BB0-8E1CA8D92D25},Hedmark,419,M3UB,Maarud 3,UB,11.825615,60.109342,2004/5,2007
{365B9355-105E-4EEA-B946-3EF224DF1129},Hedmark,420,HPB,Halvard Pramhus,B,12.156934,60.095024,2007/8,2010
{768B55CE-D7B2-42F7-BDFA-709547A85DD8},Hedmark,420,HPUB,Halvard Pramhus,UB,12.156633,60.095602,2007/8,2010
{DAD88203-F15E-44EF-B6D7-420E15477D61},Hedmark,420,SSBB,Stangeskovene Eidskog ,B,11.884357,59.950178,2007/8,2010
{91D4F204-343C-4696-A137-3B280BE596E5},Hedmark,420,SSBUB,Stangeskovene Eidskog ,UB,11.885225,59.949846,2007/8,2010
{6D6A5302-BEF1-4207-99AF-70D46B036A98},Telemark,604,1FRB,Fritsøe1,B,9.739193,59.416329,2009,2009
{509F49A6-7A67-4F86-860C-C99CA5E73473},Telemark,604,1FRUB,Fritsøe1,UB,9.738498,59.415974,2009,2009
{DD38A6C0-256F-4B6F-87C4-630837EB525D},Telemark,728,2FRB,Fritsøe2,B,9.823752,59.367768,2005,2009
{935BC523-6BFE-4F42-B2B8-2183C5CA614F},Telemark,728,2FRUB,Fritsøe2,UB,9.823527,59.367231,2005,2009
{95EDA0E0-4702-4DAF-A9E5-D1AAE8EF6B30},Telemark,806,1CAB,Nome_Cappelen1,B,9.262933,59.141608,2006,2009
{C860FA23-A806-4B1A-90A9-084A813B1A50},Telemark,806,1CAUB,Nome_Cappelen1,UB,9.263685,59.141688,2006,2009
{E51DF775-7991-4726-B14A-E709842FF5F2},Telemark,807,1NOB,Notodden1,B,9.32161,59.599431,2005,2009
{7528CEDA-3F93-45A2-A504-9CC33C1C38E5},Telemark,807,1NOUB,Notodden1,UB,9.320846,59.59919,2005,2009
{B904F9DB-5F92-4886-B4A5-C5D99FE8E757},Telemark,807,3NOB,Notodden3,B,9.080254,59.676721,2002,2009
{19DDB1ED-1B2C-4ED5-999A-41A3DC3947FF},Telemark,807,3NOUB,Notodden3,UB,9.080717,59.677287,2002,2009
{6DFB8803-9956-4759-A27D-4C56610B72DB},Telemark,807,4NOB,Notodden4,B,9.10719,59.732556,2005,2009
{86B9D4C1-1E49-47DA-8C0B-B524FF84AEC4},Telemark,807,4NOUB,Notodden4,UB,9.107498,59.73445,2005,2009
{6B9FC135-1645-4D40-9236-E7C702EA5024},Telemark,807,5NOB,Notodden5,B,8.970883,59.694837,2007,2009
{7342BD69-A5CE-4A8D-82D7-9E844C414A91},Telemark,807,5NOUB,Notodden5,UB,8.970475,59.694495,2007,2009
{2794FC4A-44B8-4385-8623-C70616E46628},Telemark,807,6NOB,Notodden6,B,9.010986,59.55497,2003,2009
{739EBAA5-D414-4753-93CF-5A96CFD3A9E4},Telemark,807,6NOUB,Notodden6,UB,9.011906,59.554755,2003,2009
{89274CF3-A2AB-493F-B1A7-85568BEA0856},Telemark,817,1DRB,Drangedal1,B,9.146759,59.129363,2005,2009
{60E7D4D8-86FE-4751-A9B4-1E8270B36310},Telemark,817,1DRUB,Drangedal1,UB,9.147015,59.12789,2005,2009
{BCCE747C-640D-43AB-851D-356BB2A3A7CC},Telemark,817,3DRB,Drangedal3,B,8.834496,59.056436,2007,2009
