"","Region","LocalityName","LocalityCode","Treatment","Subplot","Years_Since_Exclosure","Group","Volume_m3","Volume_m3ha"
"60","Trøndelag","nsb_verdal","1NSB","B","NV",1,"Deciduous",0.000801392252631579,0.637727691809324
"61","Trøndelag","sub_namdalseid","1SB","B","NV",1,"Deciduous",0.00127363216842106,1.0135242764253
"62","Trøndelag","verdal_1vb","1VBB","B","NV",1,"Deciduous",0.000520136842105263,0.413911747526306
"63","Trøndelag","steinkjer_2bbb","2BBB","B","NV",1,"Deciduous",0.000991773557894737,0.789228320833917
"64","Telemark","nome_cappelen2","2CAB","B","NV",1,"Deciduous",0.00163952631578947,1.30469358743569
"65","Telemark","fritsoe2","2FRB","B","NV",1,"Deciduous",0.000411553515789473,0.327503881923715
"66","Telemark","kviteseid2","2KVB","B","NV",1,"Deciduous",0.000327905263157895,0.260938717487138
"67","Trøndelag","verdal_2vb","2VBB","B","NV",1,"Deciduous",0.0124152842105263,9.87976925998011
"68","Telemark","kviteseid3","3KVB","B","NV",1,"Deciduous",0.000641735831578947,0.510677148774887
"69","Telemark","notodden3","3NOB","B","NV",1,"Deciduous",0.000148610526315789,0.11826049929323
"70","Telemark","drangedal4","4DRB","B","NV",1,"Deciduous",0.000641735831578947,0.510677148774887
"71","Telemark","notodden4","4NOB","B","NV",1,"Deciduous",0.00371526315789474,2.95651248233076
"72","Telemark","notodden5","5NOB","B","NV",1,"Deciduous",0.000466716968421053,0.371401562745373
"73","Telemark","notodden6","6NOB","B","NV",1,"Deciduous",5.83396210526316e-05,0.0464251953431716
"74","Trøndelag","bratsberg","BRB","B","NV",1,"Deciduous",0.00151683014736842,1.20705507892246
"75","Trøndelag","selbu_flub","FLB","B","NV",1,"Deciduous",5.83396210526316e-05,0.0464251953431716
"76","Trøndelag","hi_tydal","HIB","B","NV",1,"Deciduous",0.000848042105263158,0.674850465013445
"77","Trøndelag","selbu_kl","KLB","B","NV",1,"Deciduous",0.000817357894736842,0.650432746112767
"78","Trøndelag","malvik","MAB","B","NV",1,"Deciduous",0.000832720336842106,0.662657789107846
"79","Trøndelag","sl_tydal","SEB","B","NV",1,"Deciduous",0.000550821052631579,0.438329466426984
"80","Trøndelag","steinkjer_1bbb","1BBUB","UB","NV",1,"Deciduous",0.00160971642105263,1.28097162693361
"81","Telemark","drangedal1","1DRUB","UB","NV",1,"Deciduous",0.000227208421052632,0.180806716613155
"82","Telemark","fritsoe1","1FRUB","UB","NV",1,"Deciduous",0.001852156,1.47389891388656
"83","Trøndelag","namdalseid_1kub","1KUB","UB","NV",1,"Deciduous",0.000141299789473684,0.112442799762905
"84","Telemark","kviteseid1","1KVUB","UB","NV",1,"Deciduous",0.000113604210526316,0.0904033583065776
"85","Telemark","notodden1","1NOUB","UB","NV",1,"Deciduous",0.00457599515789474,3.64146124471763
"86","Trøndelag","sub_namdalseid","1SUB","UB","NV",1,"Deciduous",0.00176086526315789,1.40125205375195
"87","Trøndelag","verdal_1vb","1VBUB","UB","NV",1,"Deciduous",0.00169246421052632,1.34682022555693
"88","Trøndelag","steinkjer_2bbb","2BBUB","UB","NV",1,"Deciduous",0.00136325052631579,1.08484029967893
"89","Telemark","nome_cappelen2","2CAUB","UB","NV",1,"Deciduous",0.000663205684210526,0.527762314643739
"90","Telemark","fritsoe2","2FRUB","UB","NV",1,"Deciduous",0.000624823157894737,0.497218470686176
"91","Telemark","kviteseid2","2KVUB","UB","NV",1,"Deciduous",0.000493504842105263,0.39271867530419
"92","Telemark","kviteseid3","3KVUB","UB","NV",1,"Deciduous",0.000771819157894737,0.614194170759857
"93","Telemark","notodden3","3NOUB","UB","NV",1,"Deciduous",0.000340812631578947,0.271210074919732
"94","Telemark","drangedal4","4DRUB","UB","NV",1,"Deciduous",0.00145203347368421,1.15549152435869
"95","Telemark","notodden4","4NOUB","UB","NV",1,"Deciduous",0.000396203789473684,0.315288957832387
"96","Telemark","notodden5","5NOUB","UB","NV",1,"Deciduous",0.000709320842105263,0.564459591295792
"97","Trøndelag","bratsberg","BRUB","UB","NV",1,"Deciduous",0.00229661894736842,1.82759128936095
"98","Trøndelag","selbu_flub","FLUB","UB","NV",1,"Deciduous",0.00079522947368421,0.632823508146042
"99","Trøndelag","hi_tydal","HIUB","UB","NV",1,"Deciduous",0.00140346294736842,1.11684032760003
"100","Trøndelag","malvik","MAUB","UB","NV",1,"Deciduous",0.000664250105263158,0.528593438509717
"101","Trøndelag","sl_tydal","SEUB","UB","NV",1,"Deciduous",0.00102102694736842,0.812507428518563
"102","Trøndelag","steinkjer_1bbb","1BBB","B","ØH",1,"Deciduous",0.00237716522105264,1.89168797738333
"103","Telemark","nome_cappelen1","1CAB","B","ØH",1,"Deciduous",7.43052631578947e-05,0.0591302496466152
"104","Trøndelag","namdalseid_1kub","1KB","B","ØH",1,"Deciduous",0.00473055469473684,3.7644558161697
"105","Telemark","kviteseid1","1KVB","B","ØH",1,"Deciduous",0.00175571157894737,1.39715088216575
"106","Telemark","notodden1","1NOB","B","ØH",1,"Deciduous",0.00221739957894737,1.76455051899681
"107","Trøndelag","nsb_verdal","1NSB","B","ØH",1,"Deciduous",0.000297221052631579,0.236520998586461
"108","Trøndelag","sub_namdalseid","1SB","B","ØH",1,"Deciduous",0.000307663747368421,0.244831031019301
"109","Trøndelag","verdal_1vb","1VBB","B","ØH",1,"Deciduous",0.00421006096842105,3.35026006921231
"110","Trøndelag","steinkjer_2bbb","2BBB","B","ØH",1,"Deciduous",0.00339766349473684,2.70377470075126
"111","Telemark","nome_cappelen2","2CAB","B","ØH",1,"Deciduous",0.000848042105263158,0.674850465013445
"112","Telemark","fritsoe2","2FRB","B","ØH",1,"Deciduous",7.43052631578947e-05,0.0591302496466152
"113","Trøndelag","verdal_2vb","2VBB","B","ØH",1,"Deciduous",0.00165246315789474,1.31498839928095
