"","Region","LocalityName","Years_Since_Exclosure","Delta_C","Delta_A","RF_Delta_C","RF_Delta_A","Net_RF","C_Eq_Delta_C","C_Eq_Delta_A","Net_C_Eq"
"44","Hedmark","eidskog",2,0.010521738,0.000338356,-6.75e-18,2.96e-16,2.89e-16,-0.003857971,0.16903693,0.165178959
"45","Hedmark","eidskog",3,-0.258960536,-0.000396342,1.66e-16,4.07e-16,5.73e-16,0.094952196,0.232595281,0.327547477
"46","Hedmark","eidskog",4,-1.060219932,0.001931391,6.8e-16,-6.44e-20,6.8e-16,0.388747308,-3.68e-05,0.388710488
"47","Hedmark","eidskog",5,-1.662352092,0.003313904,1.07e-15,-1.76e-16,8.91e-16,0.6095291,-0.100387914,0.509141186
"48","Hedmark","eidskog",6,-2.516465036,0.005291192,1.61e-15,-5.82e-16,1.03e-15,0.922703847,-0.332856065,0.589847781
"49","Hedmark","eidskog",7,-3.721579617,0.007272942,2.39e-15,-8.52e-16,1.54e-15,1.364579193,-0.486873906,0.877705287
"50","Hedmark","fet_3",2,-0.37603257,0.013045689,2.41e-16,-1.8e-15,-1.56e-15,0.137878609,-1.0271823,-0.889303691
"51","Hedmark","fet_3",3,-0.214467029,0.012252376,1.38e-16,-1.66e-15,-1.53e-15,0.07863791,-0.951113829,-0.872475918
"52","Hedmark","fet_3",4,-0.473129793,0.015400852,3.04e-16,-2.14e-15,-1.84e-15,0.173480924,-1.225441671,-1.051960747
"53","Hedmark","fet_3",5,-0.749115904,0.013836284,4.81e-16,-1.98e-15,-1.49e-15,0.274675831,-1.128720527,-0.854044696
"54","Hedmark","fet_3",6,-1.7889854,0.017552769,1.15e-15,-2.59e-15,-1.44e-15,0.655961313,-1.481388153,-0.82542684
"55","Hedmark","fet_3",7,-2.388219103,0.016050219,1.53e-15,-2.37e-15,-8.34e-16,0.875680338,-1.352515814,-0.476835476
"56","Telemark","fritsoe1",1,0.661110538,0.009772962,-4.24e-16,-1.02e-15,-1.44e-15,-0.242407197,-0.58179403,-0.824201227
"57","Telemark","fritsoe1",2,1.136810885,0.006419084,-7.29e-16,-5.4e-16,-1.27e-15,-0.416830658,-0.308693101,-0.725523758
"58","Telemark","fritsoe1",3,1.975212556,0.004006749,-1.27e-15,-4.09e-17,-1.31e-15,-0.724244604,-0.023366557,-0.747611161
"59","Telemark","fritsoe1",4,2.766852928,0.001921745,-1.78e-15,2.32e-16,-1.54e-15,-1.01451274,0.132645042,-0.881867698
"60","Telemark","fritsoe1",5,3.295434623,-0.000391714,-2.11e-15,5.89e-16,-1.53e-15,-1.208326028,0.336651384,-0.871674645
"61","Telemark","fritsoe1",6,4.154452868,-0.001664791,-2.67e-15,8.55e-16,-1.81e-15,-1.523299385,0.488817411,-1.034481974
"62","Telemark","fritsoe1",7,4.640591906,-0.003882771,-2.98e-15,1.18e-15,-1.8e-15,-1.701550366,0.67546522,-1.026085146
"63","Telemark","fritsoe1",8,5.458814788,-0.003172347,-3.5e-15,1.15e-15,-2.35e-15,-2.001565422,0.65730866,-1.344256762
"64","Telemark","fritsoe1",9,6.055324645,-0.003535972,-3.89e-15,1.24e-15,-2.64e-15,-2.220285703,0.71085441,-1.509431294
"65","Telemark","fritsoe2",1,-0.121633593,0.009220849,7.8e-17,-1.21e-15,-1.14e-15,0.044598984,-0.694217524,-0.64961854
"66","Telemark","fritsoe2",2,0.067947153,0.008850472,-4.36e-17,-1.16e-15,-1.2e-15,-0.024913956,-0.66195937,-0.686873326
"67","Telemark","fritsoe2",3,0.407760494,0.005374177,-2.62e-16,-6.42e-16,-9.04e-16,-0.149512181,-0.367123864,-0.516636045
"68","Telemark","fritsoe2",4,0.846557329,0.00273477,-5.43e-16,-1.91e-16,-7.34e-16,-0.310404354,-0.108861784,-0.419266138
"69","Telemark","fritsoe2",5,1.277577839,0.001195113,-8.2e-16,5.04e-17,-7.69e-16,-0.468445208,0.028794518,-0.43965069
"70","Telemark","fritsoe2",6,1.340213216,0.001502667,-8.6e-16,7.24e-18,-8.53e-16,-0.491411512,0.004138233,-0.487273279
"71","Telemark","fritsoe2",7,1.891877146,-0.001220103,-1.21e-15,4.41e-16,-7.73e-16,-0.693688287,0.252063716,-0.441624571
"72","Telemark","fritsoe2",8,1.87976051,0.001663222,-1.21e-15,-3.35e-18,-1.21e-15,-0.68924552,-0.001912905,-0.691158425
"73","Telemark","fritsoe2",9,1.765240197,0.002593929,-1.13e-15,-1.46e-16,-1.28e-15,-0.647254739,-0.083534687,-0.730789426
"74","Telemark","furesdal",1,0.931645783,-0.003231745,-5.98e-16,6.94e-16,9.63e-17,-0.341603454,0.396625917,0.055022463
"75","Telemark","furesdal",2,-0.019973566,0.00622877,1.28e-17,-6.35e-16,-6.22e-16,0.007323641,-0.362809811,-0.35548617
"76","Telemark","furesdal",3,1.166331333,-0.00675249,-7.48e-16,1.15e-15,3.97e-16,-0.427654822,0.654527099,0.226872277
"77","Telemark","furesdal",4,1.489269361,-0.00540383,-9.56e-16,1.11e-15,1.5e-16,-0.546065433,0.632035671,0.085970239
"78","Telemark","furesdal",5,1.110813002,-0.000407761,-7.13e-16,3.57e-16,-3.55e-16,-0.407298101,0.204238505,-0.203059596
"79","Telemark","furesdal",6,1.511736122,-0.00526905,-9.7e-16,9.84e-16,1.38e-17,-0.554303245,0.5622171,0.007913856
"80","Telemark","furesdal",7,1.522945404,-0.005975304,-9.77e-16,1.11e-15,1.33e-16,-0.558413315,0.634229872,0.075816557
"81","Telemark","furesdal",8,1.529946809,-0.006605955,-9.82e-16,1.17e-15,1.88e-16,-0.560980497,0.668194463,0.107213967
"82","Telemark","furesdal",9,1.662560951,-0.007625624,-1.07e-15,1.32e-15,2.56e-16,-0.609605682,0.755761915,0.146156233
"83","Hedmark","halvard_pramhus",3,-1.507563371,0.011570989,9.67e-16,-1.99e-15,-1.02e-15,0.552773236,-1.134544034,-0.581770798
"84","Hedmark","halvard_pramhus",4,-1.937117377,0.012105941,1.24e-15,-2.06e-15,-8.13e-16,0.710276371,-1.175052493,-0.464776122
"85","Hedmark","halvard_pramhus",5,-1.84548345,0.011422765,1.18e-15,-1.95e-15,-7.67e-16,0.676677265,-1.115242911,-0.438565646
"86","Hedmark","halvard_pramhus",6,-3.012110856,0.0151611,1.93e-15,-2.57e-15,-6.4e-16,1.104440647,-1.470014293,-0.365573645
"87","Hedmark","halvard_pramhus",7,-3.72185608,0.016791744,2.39e-15,-2.87e-15,-4.78e-16,1.364680563,-1.63767359,-0.272993028
"88","Hedmark","halvard_pramhus",8,-4.003504338,0.014040918,2.57e-15,-2.38e-15,1.93e-16,1.467951591,-1.357932323,0.110019267
