"","Mean_Stand_Volume_m3_ha","Ms_Dnst","Group","Region"
"94",NA,66.70865217,"Spruce","Hedmark"
"95",NA,67.40337064,"Spruce","Hedmark"
"96",NA,69.19233611,"Spruce","Hedmark"
"97",NA,84.36795412,"Spruce","Hedmark"
"98",34.5564708893682,86.56898321,"Spruce","Hedmark"
"99",41.7728622078003,98.4150361,"Spruce","Hedmark"
"100",47.0139969595733,100.1449863,"Spruce","Hedmark"
"101",50.1647234709137,100.5307619,"Spruce","Hedmark"
"102",52.6635905811456,102.505428,"Spruce","Hedmark"
"103",54.6186035681586,119.9609802,"Spruce","Hedmark"
"104",54.1379258694476,126.8807176,"Spruce","Hedmark"
"105",55.6148272778983,132.4749132,"Spruce","Hedmark"
"106",55.6861343721645,137.203408,"Spruce","Hedmark"
"107",55.6164281918201,203.7060259,"Spruce","Hedmark"
"108",NA,21.27970575,"Pine","Hedmark"
"109",NA,21.82510168,"Pine","Hedmark"
"110",NA,60.40047408,"Pine","Hedmark"
"111",NA,61.86810548,"Pine","Hedmark"
"112",NA,65.49999564,"Pine","Hedmark"
"113",NA,69.19233611,"Pine","Hedmark"
"114",12.7408194089016,70.16814309,"Pine","Hedmark"
"115",14.9325166005988,84.36795412,"Pine","Hedmark"
"116",12.7603052503052,94.42837926,"Pine","Hedmark"
"117",15.8619536019536,98.4150361,"Pine","Hedmark"
"118",15.5886202686203,98.82377926,"Pine","Hedmark"
"119",20.1200610500611,100.5307619,"Pine","Hedmark"
"120",19.540695970696,102.505428,"Pine","Hedmark"
"121",22.4441391941392,119.9609802,"Pine","Hedmark"
"122",22.2118919092603,126.8807176,"Pine","Hedmark"
"123",23.8649531337501,127.6809098,"Pine","Hedmark"
"124",NA,19.10082525,"Deciduous","Hedmark"
"125",NA,22.69047489,"Deciduous","Hedmark"
"126",NA,60.40047408,"Deciduous","Hedmark"
"127",NA,61.86810548,"Deciduous","Hedmark"
"128",NA,63.34204938,"Deciduous","Hedmark"
"129",NA,67.40337064,"Deciduous","Hedmark"
"130",40.6221894753586,69.19233611,"Deciduous","Hedmark"
"131",44.4115349808127,73.10902496,"Deciduous","Hedmark"
"132",46.651978831477,86.56898321,"Deciduous","Hedmark"
"133",47.907944731217,94.42837926,"Deciduous","Hedmark"
"134",53.074190920642,98.4150361,"Deciduous","Hedmark"
"135",56.3875305455093,100.1449863,"Deciduous","Hedmark"
"136",57.1349293081639,100.5307619,"Deciduous","Hedmark"
"137",54.7674701662464,113.9472713,"Deciduous","Hedmark"
"138",56.2647548809028,119.9609802,"Deciduous","Hedmark"
"139",54.6967100919277,126.8807176,"Deciduous","Hedmark"
