"","ExperimentID","Region","DistrictID","LocalityCode","LocalityName","Treatment","Longitude","Latitude","Clear.cut","Year.initiated","Site_Number","Productivity_Index","Moose_Density","Red_Deer_Density","Roe_Deer_Density","Min_Temp","Max_Temp","Min_SWE","Max_SWE","Temp_Range","SWE_Range"
"31","{DAD88203-F15E-44EF-B6D7-420E15477D61}","hedmark","0420","SSBB","stangeskovene_eidskog","B",11.884357,59.950178,"2007/8",2010,23,0.090462104,62.64905485,0,13.92362896,268.037841191067,289.311786600496,0,44.3106699751861,21.273945409429,44.3106699751861
"9","{EEE6CEC5-005B-4035-83AC-168884D6C1C4}","hedmark","0226","SKB","sorum_1","B",11.310369,59.917857,"2008/9",2011,24,0.174894127,59.32528016,3.43817827,48.12147002,268.759925558313,289.554962779156,0,55.4632152588556,20.795037220843,55.4632152588556
"1","{34F34035-183F-4824-A89B-D585F86C1CD3}","hedmark","0221","DHB","didrik_holmsen","B",11.427864,59.852391,"2007/8",2010,25,0.234215068,56.43464358,0,18.91236981,268.623945409429,289.292928039702,0,60.3811989100817,20.668982630273,60.3811989100817
"7","{75ED6522-F97E-4551-BBE9-DFE7265F359D}","hedmark","0221","THB","truls_holm","B",11.801503,59.850496,"2007/8",2010,26,0.294777374,56.43464358,0,18.91236981,267.864392059553,288.738833746898,0,66.5523160762943,20.874441687345,66.5523160762943
"3","{B0A908A0-978F-463C-8EA8-A03946B5F541}","hedmark","0221","SSAB","stangeskovene_aurskog","B",11.353306,59.84871,"2007/8",2010,27,0.114068355,56.43464358,0,18.91236981,268.654714640199,289.233126550868,0,72.4073569482289,20.578411910669,72.4073569482289
"11","{34076428-DBE8-4640-87BB-7304F3782B8D}","hedmark","0227","FKB","fet_3","B",11.262528,59.82754,"2008/9",2011,28,0.140119204,71.33638992,0,32.84966157,269.041563275434,289.696153846154,0,63.7215258855586,20.65459057072,63.7215258855586
"43","{6DFB8803-9956-4759-A27D-4C56610B72DB}","telemark","0807","4NOB","notodden4","B",9.10719,59.732556,"2005",2009,29,0.121097448,45.75073179,7.549714848,3.55799475,267.590694789082,288.156699751861,0,144.31416893733,20.566004962779,144.31416893733
"45","{6B9FC135-1645-4D40-9236-E7C702EA5024}","telemark","0807","5NOB","notodden5","B",8.970883,59.694837,"2007",2009,30,0.119776917,45.75073179,7.549714848,3.55799475,267.42617866005,287.580521091811,0,168.779652605459,20.154342431761,168.779652605459
"41","{B904F9DB-5F92-4886-B4A5-C5D99FE8E757}","telemark","0807","3NOB","notodden3","B",9.080254,59.676721,"2002",2009,31,0.142430355,45.75073179,7.549714848,3.55799475,267.650496277916,288.086972704715,0,142.484196185286,20.436476426799,142.484196185286
"39","{E51DF775-7991-4726-B14A-E709842FF5F2}","telemark","0807","1NOB","notodden1","B",9.32161,59.599431,"2005",2009,32,0.154754533,45.75073179,7.549714848,3.55799475,268.042307692308,288.484491315136,0,130.723978201635,20.442183622828,130.723978201635
