"","ExperimentID","Region","DistrictID","LocalityCode","LocalityName","Treatment","Longitude","Latitude","Clear.cut","Year.initiated"
"23","{60431DE4-CE0E-4A8D-A676-6757D614A23C}","Hedmark",419,"M1B","maarud_1","B",11.592398,60.169248,"2004/5",2007
"24","{DA910445-5682-4E4F-9C1B-2579A3C8A818}","Hedmark",419,"M1UB","maarud_1","UB",11.593097,60.169193,"2004/5",2007
"25","{07906680-9BC3-4636-9A4E-218F993704C2}","Hedmark",419,"M2B","maarud_2","B",11.753235,60.124845,"2004/5",2007
"26","{D99732B1-A03B-4D20-94FF-EBE75B72607A}","Hedmark",419,"M2UB","maarud_2","UB",11.752689,60.124453,"2004/5",2007
"27","{DC678F2D-6A6B-45D8-B027-4B8BC2277B7F}","Hedmark",419,"M3B","maarud_3","B",11.825264,60.109828,"2004/5",2007
"28","{6A46437A-D098-460A-9BB0-8E1CA8D92D25}","Hedmark",419,"M3UB","maarud_3","UB",11.825615,60.109342,"2004/5",2007
"29","{365B9355-105E-4EEA-B946-3EF224DF1129}","Hedmark",420,"HPB","halvard_pramhus","B",12.156934,60.095024,"2007/8",2010
"30","{768B55CE-D7B2-42F7-BDFA-709547A85DD8}","Hedmark",420,"HPUB","halvard_pramhus","UB",12.156633,60.095602,"2007/8",2010
"31","{DAD88203-F15E-44EF-B6D7-420E15477D61}","Hedmark",420,"SSBB","stangeskovene_eidskog","B",11.884357,59.950178,"2007/8",2010
"32","{91D4F204-343C-4696-A137-3B280BE596E5}","Hedmark",420,"SSBUB","stangeskovene_eidskog","UB",11.885225,59.949846,"2007/8",2010
"33","{6D6A5302-BEF1-4207-99AF-70D46B036A98}","Telemark",604,"1FRB","fritsoe1","B",9.739193,59.416329,"2009",2009
"34","{509F49A6-7A67-4F86-860C-C99CA5E73473}","Telemark",604,"1FRUB","fritsoe1","UB",9.738498,59.415974,"2009",2009
"35","{DD38A6C0-256F-4B6F-87C4-630837EB525D}","Telemark",728,"2FRB","fritsoe2","B",9.823752,59.367768,"2005",2009
"36","{935BC523-6BFE-4F42-B2B8-2183C5CA614F}","Telemark",728,"2FRUB","fritsoe2","UB",9.823527,59.367231,"2005",2009
"37","{95EDA0E0-4702-4DAF-A9E5-D1AAE8EF6B30}","Telemark",806,"1CAB","nome_cappelen1","B",9.262933,59.141608,"2006",2009
"38","{C860FA23-A806-4B1A-90A9-084A813B1A50}","Telemark",806,"1CAUB","nome_cappelen1","UB",9.263685,59.141688,"2006",2009
"39","{E51DF775-7991-4726-B14A-E709842FF5F2}","Telemark",807,"1NOB","notodden1","B",9.32161,59.599431,"2005",2009
"40","{7528CEDA-3F93-45A2-A504-9CC33C1C38E5}","Telemark",807,"1NOUB","notodden1","UB",9.320846,59.59919,"2005",2009
"41","{B904F9DB-5F92-4886-B4A5-C5D99FE8E757}","Telemark",807,"3NOB","notodden3","B",9.080254,59.676721,"2002",2009
"42","{19DDB1ED-1B2C-4ED5-999A-41A3DC3947FF}","Telemark",807,"3NOUB","notodden3","UB",9.080717,59.677287,"2002",2009
"43","{6DFB8803-9956-4759-A27D-4C56610B72DB}","Telemark",807,"4NOB","notodden4","B",9.10719,59.732556,"2005",2009
"44","{86B9D4C1-1E49-47DA-8C0B-B524FF84AEC4}","Telemark",807,"4NOUB","notodden4","UB",9.107498,59.73445,"2005",2009
"45","{6B9FC135-1645-4D40-9236-E7C702EA5024}","Telemark",807,"5NOB","notodden5","B",8.970883,59.694837,"2007",2009
"46","{7342BD69-A5CE-4A8D-82D7-9E844C414A91}","Telemark",807,"5NOUB","notodden5","UB",8.970475,59.694495,"2007",2009
"47","{2794FC4A-44B8-4385-8623-C70616E46628}","Telemark",807,"6NOB","notodden6","B",9.010986,59.55497,"2003",2009
"48","{739EBAA5-D414-4753-93CF-5A96CFD3A9E4}","Telemark",807,"6NOUB","notodden6","UB",9.011906,59.554755,"2003",2009
"49","{89274CF3-A2AB-493F-B1A7-85568BEA0856}","Telemark",817,"1DRB","drangedal1","B",9.146759,59.129363,"2005",2009
"50","{60E7D4D8-86FE-4751-A9B4-1E8270B36310}","Telemark",817,"1DRUB","drangedal1","UB",9.147015,59.12789,"2005",2009
"51","{BCCE747C-640D-43AB-851D-356BB2A3A7CC}","Telemark",817,"3DRB","drangedal3","B",8.834496,59.056436,"2007",2009
"52","{3B0971EB-C941-4DF0-84F2-2ECC71B0BFE7}","Telemark",817,"3DRUB","drangedal3","UB",8.833796,59.056992,"2007",2009
"53","{91B5699A-9A5B-490F-B59B-330ABB953204}","Telemark",817,"4DRB","drangedal4","B",8.822521,59.022177,"2007",2009
"54","{C88B0D7B-54A5-4CA2-8515-F474DA756009}","Telemark",817,"4DRUB","drangedal4","UB",8.822454,59.021728,"2007",2009
"55","{1345C5C5-BA31-49C1-BB59-BC222904C1F0}","Telemark",819,"2CAB","nome_cappelen2","B",9.12481,59.262313,"2006",2009
"56","{F17E7D99-B3D6-4D0A-BF35-16171967FF10}","Telemark",819,"2CAUB","nome_cappelen2","UB",9.124931,59.2619,"2006",2009
"57","{55C2C199-CD2E-4DAB-992F-6154F9BBD327}","Telemark",829,"1KVB","kviteseid1","B",8.198916,59.343617,"2004",2009
"58","{69BD18EC-1914-49D9-8917-D51244471E62}","Telemark",829,"1KVUB","kviteseid1","UB",8.19852,59.3433,"2004",2009
"59","{4BCAF02B-97BF-4422-8227-AC3B19CDBD78}","Telemark",829,"2KVB","kviteseid2","B",8.549483,59.30875,"2005",2009
"60","{9616FB08-9897-401F-967C-170DBDDBF4A5}","Telemark",829,"2KVUB","kviteseid2","UB",8.549302,59.309171,"2005",2009
"61","{E82B89F3-5ECE-4C35-830A-D3D79D974057}","Telemark",829,"3KVB","kviteseid3","B",8.267729,59.372355,"2000",2009
